stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,30,0,0,0,1,0,3,0,1,2,12,0,0,0
 24-34,0,0,0,11.49,0,0,0,0.82,0,1.64,0,0.82,4.93,0,0,4.93,112.46,0.82,1.64,0.82,0,0,0,0,0,0,20.52,0,1.64,0
 36-46,0,0.81,0,20.14,0,7.25,0,0,0.81,0,0,0,6.45,0,0,1.61,110.38,0,0,0,0,0,0,0,0,0,24.98,0,0,0
 48-58,0,0,0,25.82,0.57,3.44,0,0,0,0,0,0.57,10.9,0,0.57,1.15,99.27,0,1.72,0,0,0,0,0,0,0,12.05,0,0.57,0
 60-70,0,0,0,30.43,0,3.93,0,0,0.98,0,0,0,1.96,0.98,0,0.98,70.67,0,0.98,0,0,0,0,0.98,0,0,8.83,0,0,0
 72-82,0,2.94,0,24.54,0,8.83,0.98,0,1.96,0.98,0.98,0,13.74,0,0.98,0.98,76.57,0,0.98,0,0,0.98,0,0,0,0,4.91,0,1.96,0
 84-94,0,0,0,18.05,1.06,2.12,0,1.06,1.06,1.06,0,0,10.62,0,1.06,0,22.3,0,0,1.06,0,0,0,0,0,0,6.37,0,1.06,0
 96-106,1.09,2.19,0,8.74,2.19,5.46,2.19,0,1.09,0,0,0,7.65,0,0,0,19.67,0,1.09,0,0,1.09,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,5.36,0.77,2.3,1.53,0.77,0.77,0,0,0.77,3.06,0,0,0,20.68,0,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0.77,0.77
120,0,1.96,0,1.96,1.96,7.84,0,1.96,1.96,0,0,0,0,0,0,1.96,29.4,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
