stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.09,0,0,0,0,0,0.82,0,61.56,0,0,0.82,0
 36-46,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.87,0,0.81,0,0,0,0,0,71.7,0,0,0,0
 48-58,0,1.15,0,19.51,0.57,0.57,6.31,0,0,0.57,0,0,0,0,0,2.87,0,0,0.57,555.44,0,0,0,0,0,0.57,0,94.1,0,0,1.15,0.57
 60-70,0,0.98,0.98,100.12,0,0,24.54,0,0,0.98,0,0,0,0,0,7.85,0,0,3.93,1115.99,0,0,0,0,0,0.98,0.98,151.15,0,0,0,0.98
 72-82,0,6.87,1.96,192.41,0,0,30.43,0,0.98,0,0,0,0.98,0,0,14.72,0,0,3.93,1200.57,0,0,3.93,0,0,1.96,0,107,0,0,1.96,0
 84-94,0,6.37,2.12,111.51,0,1.06,22.3,0,0,0,0,0,0,1.06,0,6.37,0,1.06,4.25,645.72,0,0,2.12,0,0,3.19,0,67.97,1.06,1.06,0,0
 96-106,0,13.11,1.09,110.38,0,0,21.86,0,0,2.19,0,2.19,0,1.09,0,9.84,1.09,0,1.09,514.73,0,1.09,6.56,0,0,4.37,1.09,25.14,0,0,3.28,1.09
108-118,0,5.36,0.77,88.85,0,0,22.98,0.77,0,0,0.77,0.77,0,0,0.77,9.19,0,0,1.53,587.49,0,0,3.83,0,0.77,0,0,20.68,0.77,0.77,0.77,0
120,0,13.72,0,101.91,0,1.96,35.28,0,0,1.96,0,0,0,0,0,5.88,0,0,0,760.4,1.96,3.92,0,0,0,0,0,29.4,1.96,0,3.92,0
