stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,208.41,692.65,0,6.13,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,104.2,0,0,0,30.65,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,39.43,13.14,0,31.54,0,0,0,23.66,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,241.84,23.66,0,0,341.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,12.59,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,176.23,15.73,0,0,119.58,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,20,5,0,5,0,0,0,3,2,0,0,0,0,0,0,0,1,8,0,0,11,96,4,0,5,2,0,1,62,1,0,21,32,0,1,0,0
 24-34,0,0,0,0.82,4.1,0,0,9.03,0,0,0,1.64,0.82,0,0.82,0,0,0,0,0.82,0,4.1,0,0,1.64,100.14,1.64,0.82,0.82,0,0,4.93,0,0.82,0,2.46,22.16,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,11.28,0,1.61,0,3.22,0,0,0,0,0,0,0,0.81,0,5.64,0,0,0,45.12,0.81,0,0.81,0,0,2.42,0,0.81,0,0,9.67,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,0,16.64,1.15,0,1.15,4.02,1.15,0,0,0,0,0.57,0,0.57,0,9.75,0.57,0,1.15,24.67,0,1.15,2.3,0,0,1.72,0,0.57,0.57,0,4.59,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,0,12.76,0.98,0,0,4.91,1.96,0,0.98,0.98,0,0,0,0,0,7.85,0,0,0.98,11.78,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,3.93,0,0,18.65,0,0,1.96,8.83,1.96,0,1.96,0,0,0,0,0,0,12.76,0.98,0.98,3.93,17.67,0,0,0,0,0,1.96,0,0.98,0,0,1.96,0,1.96,0,0
 84-94,0,0,1.06,0,4.25,0,1.06,5.31,0,1.06,1.06,2.12,2.12,0,0,0,1.06,1.06,0,0,0,12.74,0,0,2.12,12.74,0,1.06,1.06,0,0,4.25,0,0,0,0,1.06,1.06,2.12,1.06,0
 96-106,0,0,1.09,0,0,0,0,7.65,0,0,1.09,3.28,1.09,0,1.09,0,0,0,0,1.09,0,9.84,0,0,0,6.56,0,0,1.09,0,0,6.56,0,0,0,0,0,1.09,2.19,0,0
108-118,0,0,0,0,6.13,0,0,2.3,0,1.53,0,4.6,0,0,0,0,1.53,0,0.77,0.77,0,10.72,0,0.77,1.53,12.26,0,0,1.53,0,0,3.83,0,0,0.77,0,0,0,1.53,0.77,0
120,0,0,0,0,13.72,1.96,0,9.8,1.96,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,17.64,0,0,3.92,13.72,0,0,1.96,0,1.96,13.72,0,0,0,0,0,1.96,1.96,0,0
