stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,2016.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,98.07,1005.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,12.26,0,0,0,0,0,0,0
  7-9,13.14,10.51,5.26,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,210.3,5.26,0,0,70.98,0,2.63,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1,0,0,0,5,0,0,0
 24-34,0,0,1.64,1.64,0,0,3.28,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82,2.46,0,0,0,7.39,0,0,0,0,12.31,0,0,0,2.46,0.82,0,0
 36-46,0,0,0,3.22,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,1.61,2.42,0.81,0,0.81,8.86,0,0.81,0,0,7.25,0,0.81,0,2.42,3.22,0,0
 48-58,0,0,0,1.72,0,0,2.3,0,0,0.57,0,0.57,0,0,0,0,0,0,1.72,1.72,0.57,0,0.57,8.03,0,0,0,0,1.72,0,0.57,0,1.72,3.44,0,2.3
 60-70,0,0,0,0,0,0,3.93,0.98,0.98,8.83,0,0,0.98,1.96,0,0,0,0,0,0.98,0.98,0,0,4.91,0,0,0,0,8.83,0,0.98,0,0.98,1.96,0,2.94
 72-82,0,0,0,1.96,0.98,0,7.85,0,0,4.91,0.98,0,0,0.98,0.98,0.98,0.98,0,0,2.94,0.98,0,0,1.96,0,0.98,0,0,17.67,0,0.98,0,0,8.83,0.98,2.94
 84-94,0,0,0,6.37,2.12,0,8.5,0,0,3.19,5.31,0,0,3.19,2.12,0,0,0,3.19,3.19,0,0,0,6.37,0,0,1.06,0,54.16,0,5.31,0,0,4.25,0,2.12
 96-106,1.09,0,0,6.56,1.09,1.09,3.28,0,0,3.28,5.46,0,0,5.46,0,2.19,0,0,1.09,3.28,1.09,1.09,1.09,7.65,0,2.19,1.09,0,30.6,0,3.28,0,2.19,6.56,0,1.09
108-118,0,0,0,3.06,1.53,0,3.83,1.53,1.53,3.06,12.26,0,0,3.06,1.53,3.06,0.77,1.53,0,3.06,0,0,0.77,2.3,0,0.77,0.77,0,16.85,0,1.53,0.77,0.77,1.53,0,1.53
120,0,0,0,11.76,0,0,1.96,0,3.92,0,13.72,0,0,5.88,0,3.92,0,1.96,1.96,1.96,0,1.96,1.96,1.96,1.96,1.96,0,0,47.03,0,0,0,0,3.92,0,3.92
