stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0
 24-34,0,0.82,0,0.82,0,0,0,0.82,0.82,0,0,0,0,3.28,0,3.28,0.82,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,1.61,0,6.45,1.61,3.22,0,3.22,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,0,1.15,0.57,5.74,0,2.3,0,0,0
 60-70,0,0,0.98,3.93,0,0,0.98,0,0,0.98,0.98,0,0,8.83,0,3.93,0,0.98,0
 72-82,0,0,0,1.96,2.94,0,0.98,0,0,0,0,0.98,0,2.94,0,0.98,0,0,0
 84-94,0,1.06,0,0,2.12,1.06,0,0,0,0,0,0,0,2.12,0,5.31,0,0,0
 96-106,0,2.19,1.09,1.09,0,0,0,0,0,0,0,3.28,0,1.09,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0.77,0,0,0,0.77,0,2.3,0,1.53,0,0,0.77
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0
