stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,1,1,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,0,0,0,1.64,0,0,33.66,0.82,0.82,0,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,78.96,0,0.81,0,0,0,0.81,0,2.42,2.42,0,0,0
 48-58,0,0,0,0,2.3,0.57,0,0,0,0,3.44,0,1.15,71.73,0,0,0,0,0,0,0,0,7.46,0,0,0
 60-70,0,0,0,0,6.87,0,2.94,0.98,0,0,4.91,0,0,108.95,0,0,0,0,0,0,0,0,11.78,0,0,0
 72-82,0,0,0.98,0,5.89,0,3.93,0,0,0.98,14.72,0,1.96,119.76,0,0,0.98,0,0,0,0,0,16.69,0,0,0
 84-94,0,0,1.06,0,10.62,1.06,2.12,0,0,0,7.43,0,1.06,54.16,0,0,3.19,0,0,0,0,0,4.25,2.12,0,0
 96-106,0,0,0,1.09,3.28,0,3.28,0,0,0,5.46,0,0,46.99,1.09,0,0,0,1.09,0,0,0,1.09,0,2.19,1.09
108-118,0,0,0,1.53,4.6,0,3.06,0.77,0.77,0.77,6.13,0,0,67.4,0,0,0.77,0,0,0.77,0,0,3.06,0,0,0.77
120,0,0,0,0,9.8,1.96,7.84,0,0,0,3.92,1.96,0,78.39,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92
