stage,blastomeres,endocrine.pancreas,endoderm,eye,fin.epithelia,glial,hatching.gland,ionocyte,mesenchyme,mucous,mural.cell,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,2.63,0,0,2.63,0,0,0,0,13.14,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0.57,0,0.57,0,6.31,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0,0.98
 72-82,0,0,0,1.96,0,0,0,0,0.98,0,0,5.89,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,0,3.19,0,2.12,0,0,2.12
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,3.28,0,1.09,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,5.36,0,0,0,0,0.77
120,0,1.96,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0
