stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,3,0,0,0,0,2,0,0,11,2,0,0,1,9,0,0,1,0,0,0,3,0,0,0,13
 24-34,0,0,0,0,0,4.1,0,3.28,0,0,4.1,0.82,0,47.61,2.46,0,0,3.28,13.13,0,0,0,0,0,0.82,3.28,0,0,0,69.77
 36-46,0,0,0,0,0,2.42,0,0,0,0,14.5,0,0,29,1.61,0,0,0,5.64,0.81,0,0,0,0,0,3.22,0,0,0.81,53.17
 48-58,0,0,0,0,0,6.89,0,1.72,0,0,30.99,0,0,25.82,3.44,0,0.57,0,6.89,0,0,0,0,0.57,0,2.3,0,0,0,49.35
 60-70,0,0,0,0,0,11.78,0,0.98,0,0,62.82,0,0,13.74,0.98,0,0,0,3.93,0.98,0,0,0,0,0,0,0,0,0,46.13
 72-82,0,0,0,0,0,21.6,0,12.76,0,0,58.9,0,0,12.76,2.94,0,0,0,10.8,1.96,0,0,0,0,0,0.98,0,0,0,39.27
 84-94,0,0,0,0,0,24.43,1.06,8.5,0,0,106.2,0,0,35.05,2.12,0,0,1.06,12.74,0,1.06,0,0,0,0,0,1.06,1.06,0,57.35
 96-106,0,0,0,0,0,15.3,0,13.11,0,0,87.43,0,0,25.14,5.46,0,0,0,5.46,2.19,0,0,0,0,0,0,0,0,0,52.46
108-118,0,0,0,0.77,0.77,12.26,0,8.43,0,0.77,121.79,0,1.53,34.47,1.53,0.77,0,1.53,6.89,1.53,0,0,0.77,0,0,0,0,0,0,60.51
120,0,0,0,0,0,3.92,0,3.92,1.96,0,56.83,0,0,15.68,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,11.76
