stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0.82,0,0.82,33.66,5.75,0,0.82,0.82,0,6.57,0,7.39,0,16.42,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,1.61,0,0,14.5,3.22,0,0,0.81,0,38.67,0,4.03,0,21.75,0,0,0,0,0,0.81
 48-58,0,0.57,1.15,0,0.57,0,0,0,2.87,0,0,5.16,4.02,0,0,1.15,0,16.07,0,2.87,0,20.66,0,0,0.57,0,0,0
 60-70,0,3.93,0.98,0,0,0,0,0,1.96,0,0.98,5.89,1.96,0,0,0,0,6.87,0,2.94,0,62.82,0,0,0.98,2.94,0,0
 72-82,0,2.94,0,0,1.96,0,1.96,0,0.98,0,0,21.6,9.82,0,1.96,0,0,8.83,0,4.91,0,78.53,0,0,0.98,0,0,0
 84-94,0,7.43,1.06,1.06,11.68,0,1.06,0,1.06,0,0,42.48,9.56,0,0,2.12,0,18.05,0,24.43,0,316.49,0,0,0,3.19,0,0
 96-106,0,26.23,3.28,0,9.84,0,2.19,0,0,0,0,42.62,20.76,1.09,2.19,7.65,1.09,9.84,1.09,30.6,0,415.28,0,0,0,5.46,1.09,0
108-118,0,40.6,1.53,0,20.68,0.77,0,2.3,0,0,0.77,62.04,12.26,0,3.06,7.66,0.77,11.49,0,19.92,0,360.77,0,0,0,4.6,0.77,0
120,0,33.32,1.96,0,17.64,0,1.96,0,0,1.96,0,35.28,5.88,0,1.96,1.96,0,15.68,0,15.68,0,256.73,0,0,0,3.92,0,0
