stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,79.07,1594.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0
  5-6,73.56,925.57,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,6.13,36.78,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,15.77,0,0,0,7.89,0,0,0,0,0,168.24,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,1,3,7,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0.82,0,0,7.39,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0,2.3,0,0.57,2.87,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,1.96,0,1.96,0,0,0,0,6.87,0,0.98,2.94,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,5.89,1.96,4.91,0,0,0,0,22.58,0,0.98,2.94,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,2.12,2.12,4.25,0,0,0,0,12.74,0,3.19,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,1.09,0,0,0,0,8.74,2.19,1.09,1.09,0,0,0,1.09,0,0,0,0,0,1.09,2.19
108-118,0,0,0,0,3.83,0,2.3,0.77,0,0.77,1.53,12.26,0,0.77,3.06,0,0.77,0,0.77,0.77,0,0,0,0.77,0.77,1.53
120,0,0,0,0,1.96,0,1.96,0,0,0,0,15.68,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
