stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,30.65,747.82,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,34.17,0,0,0,52.57,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,541.51,10.51,0,0,297.04,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,25.18,12.59,0,3.15,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.52,3.15,0,0,147.91,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,3,22,8,0,18,0,0,5,2,0,1,0,0,0,0,0,0,12,0,0,10,281,8,3,1,6,15,0,37,1,20,82,0,4,0,0
 24-34,0,0,1.64,14.78,4.93,0,76.34,0.82,0,11.49,0,0,1.64,2.46,0,0.82,0.82,0,0,48.43,0,0.82,14.78,764.22,2.46,5.75,3.28,0,28.73,0,0.82,1.64,1.64,141.19,0,9.03,0,0.82
 36-46,0,0,0.81,7.25,0.81,0,240.09,0,0,18.53,0.81,0,0,0,0,0,0,0.81,0,49.15,0,1.61,11.28,591.36,0,2.42,1.61,0,22.56,0,0,0,0,127.3,0,2.42,0,0.81
 48-58,0,0,0,4.59,1.72,0,277.15,0.57,0,20.66,0,0,1.72,1.15,0,0.57,0,1.15,1.15,58.53,0.57,2.3,16.07,276,2.3,0.57,1.15,0,5.16,0,0,0.57,0,49.35,0,5.16,0,0.57
 60-70,0,0,0,6.87,0.98,0.98,213.97,0.98,0.98,18.65,1.96,0,0,1.96,0,0.98,0,0.98,0,28.46,0,2.94,1.96,133.49,1.96,0,0,0,1.96,0,0,0.98,0,4.91,0,1.96,0,1.96
 72-82,0,0,0,6.87,1.96,0,62.83,0,1.96,21.6,0.98,0,0.98,0,0.98,1.96,0,0.98,0,43.19,0.98,0,7.85,82.46,1.96,0.98,1.96,0,0.98,0,0,0,0,0.98,0,6.87,0,0.98
 84-94,0,0,0,8.5,0,0,58.41,0,1.06,19.12,5.31,0,0,0,1.06,0,1.06,0,0,23.36,0,4.25,8.5,72.22,0,0,1.06,0,9.56,0,0,0,0,1.06,1.06,2.12,0,0
 96-106,0,0,0,3.28,0,0,43.71,0,0,16.39,2.19,0,0,1.09,1.09,0,0,0,0,26.23,0,2.19,3.28,60.11,0,1.09,5.46,0,3.28,0,0,1.09,0,2.19,0,6.56,0,0
108-118,0,0,0,5.36,3.83,0.77,35.23,0,0,12.26,0.77,0,0.77,6.13,0.77,0.77,0,0,0,13.02,0,1.53,5.36,67.4,0.77,0.77,1.53,0,1.53,0,0,0.77,0,0,0,3.83,0,0
120,0,0,0,9.8,1.96,0,19.6,0,0,15.68,0,0,1.96,5.88,0,0,0,0,0,19.6,0,0,3.92,54.87,3.92,3.92,1.96,0,1.96,0,0,0,0,0,0,3.92,1.96,0
