stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,44,9,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0
 24-34,0,0.82,1.64,0,0,2.46,0,0,0.82,0,0,0,0,1.64,0,0,0,0,155.96,0,0,129.7,25.45,0,0,0,0,0.82,0,0,0,1.64,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0,8.86,0,1.61,19.34,0,0,0.81,0,0,0,0,0,1.61,381.08,0,0,119.24,15.31,0,0,0.81,0,0,0,0.81,0,0,2.42,0,0,0,0,0.81
 48-58,0,0,2.3,0,0,12.62,0,0.57,41.89,4.02,0,0,0.57,1.15,0,0,0,5.16,565.2,1.15,0,110.74,25.82,0,0,0.57,0,0.57,0,0,0,0,1.72,0,1.72,0,0,0.57
 60-70,0,0,0,0.98,0,15.7,0,0,52.02,8.83,0,0,0,0.98,0,0,0,3.93,790.13,1.96,0.98,87.36,25.52,0.98,0,0.98,0.98,0,0,0,0,0,2.94,0.98,12.76,0,0.98,0
 72-82,0,0,3.93,0,0,44.17,0,2.94,88.35,5.89,1.96,0,0,2.94,0,0,0,2.94,1120.08,0,9.82,96.2,44.17,0,0.98,0.98,2.94,0,0,0,0.98,0,0.98,1.96,22.58,0.98,1.96,0
 84-94,1.06,0,6.37,0,0,54.16,0,0,66.91,7.43,0,0,1.06,2.12,1.06,1.06,0,2.12,724.31,0,5.31,59.47,16.99,2.12,0,0,1.06,1.06,0,0,0,0,2.12,1.06,26.55,0,5.31,0
 96-106,0,0,9.84,0,1.09,52.46,1.09,3.28,52.46,5.46,1.09,0,0,7.65,0,1.09,1.09,2.19,723.46,1.09,5.46,46.99,40.44,0,0,2.19,3.28,1.09,0,1.09,0,0,1.09,2.19,24.04,4.37,8.74,0
108-118,0,0,4.6,0,0,14.55,0,0,52.09,6.13,2.3,0,0,6.89,0.77,0,0,0,653.37,0.77,6.89,42.13,27.57,0,0,3.06,2.3,0.77,0,0,0,0,0,1.53,6.13,0,1.53,0
120,0,0,7.84,1.96,0,13.72,0,0,39.2,1.96,1.96,0,0,1.96,1.96,0,0,0,546.78,1.96,1.96,21.56,29.4,0,0,0,5.88,0,0,0,0,0,0,1.96,5.88,0,0,0
