stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,0
 36-46,0,3.22,0,0,1.61,0,0,0,1.61,0,0.81,0,0,1.61,0,0,1.61,0,0,0,3.22,0,0.81,0,0,0
 48-58,0,1.72,0,0,1.15,0,0.57,0,3.44,0,1.15,0.57,0,0,0,0,3.44,0,0,0,2.87,0,0,0,0,0
 60-70,0,1.96,0,0,0,0,0,1.96,6.87,0,0.98,0,0,0,0,0,2.94,0,0.98,0,2.94,0,0,0,0,0
 72-82,0,15.71,0,0,0,0,0,22.58,10.8,0,2.94,0.98,1.96,0,0,0,8.83,0,0,0.98,3.93,0,0,0,0.98,0.98
 84-94,0,12.74,0,1.06,3.19,0,0,38.23,19.12,0,2.12,3.19,0,0,0,0,5.31,0,0,0,6.37,0,0,0,0,0
 96-106,0,16.39,4.37,1.09,7.65,0,2.19,86.33,19.67,0,5.46,0,7.65,0,2.19,0,28.41,1.09,0,3.28,27.32,1.09,0,1.09,1.09,0
108-118,0,8.43,2.3,0,5.36,0.77,0.77,63.57,21.45,0.77,1.53,0,4.6,0,0.77,0,8.43,0,0,0.77,10.72,0,0,0,0.77,0
120,0,9.8,7.84,0,1.96,0,3.92,45.08,29.4,0,3.92,0,1.96,0,1.96,1.96,1.96,0,0,3.92,5.88,0,0,0,0,0
