stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,2477.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1464.98,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,9.44,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,3,14,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,3,57,2,0,1,0,0,6,0,3,0,0,5,5,0,0,0,0,0
 24-34,0,0,0.82,3.28,0.82,0,13.95,0,0,0.82,1.64,0,0,0.82,0,0.82,0,0,0.82,0,14.78,0,4.1,87.83,1.64,0,0.82,0,0,14.78,0,0,0,0,0.82,22.98,0,0,3.28,0,1.64
 36-46,0,0,0,2.42,0,0,11.28,3.22,0,0,4.03,0,0,0,0.81,0,0.81,0,0,0.81,8.06,0,3.22,48.34,0.81,0,0,0,0,5.64,1.61,0,0,0,0,8.86,0,0,0.81,0,0.81
 48-58,0,0,0,1.72,0.57,0,20.08,1.72,1.15,0.57,2.87,0,0,0,0,0,1.15,0,0,0.57,10.33,0.57,1.15,32.13,1.72,0.57,0,0,0,1.72,0,0,0,0,0,5.16,0,0,0.57,0,1.15
 60-70,0,0,0,0.98,0,0,25.52,0,0.98,0,4.91,0.98,0,0,0.98,0,0,0,0.98,0.98,5.89,0,1.96,37.3,0.98,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0,1.96,0,1.96
 72-82,0,0,0,2.94,0,0,42.21,0,0.98,0,9.82,0,0,0,0.98,0,0,0,0.98,0.98,20.61,0,2.94,40.25,0.98,0,0,0,0,1.96,0,0,0,0,0,0.98,0.98,0,0.98,0,0.98
 84-94,0,0,0,5.31,1.06,0,41.42,1.06,0,0,8.5,0,0,0,1.06,0,1.06,0,0,4.25,9.56,0,0,21.24,1.06,0,0,0,0,8.5,0,0,1.06,0,0,1.06,0,0,0,1.06,1.06
 96-106,0,0,0,3.28,0,0,19.67,1.09,0,2.19,9.84,1.09,0,1.09,0,0,0,1.09,1.09,2.19,8.74,1.09,2.19,18.58,2.19,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,7.66,0.77,1.53,15.32,1.53,0.77,0,8.43,0.77,0,0,2.3,0.77,0.77,0,0,0.77,6.89,0.77,0.77,19.15,0,0,1.53,0,0.77,7.66,0,0,0,0,0,0,0.77,0,1.53,0,0
120,1.96,0,0,3.92,3.92,0,19.6,0,0,0,9.8,0,0,0,5.88,0,0,0,0,0,11.76,0,0,39.2,1.96,0,0,0,0,9.8,0,0,0,1.96,0,0,0,1.96,1.96,0,0
