stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,20,0,1,0,0,2,0,0,7,0,0,0,0
 24-34,0,0,0,1.64,3.28,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0.82,24.63,0,0.82,0,0,0,0,0.82,6.57,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,0,37.06,1.61,0.81,0,0,0.81,0,0,7.25,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,1.72,0,0,0,0,0,0,4.02,0,0,0,19.51,1.72,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0.98,2.94,0,0,0.98,0,0,0,0,0,0,0,4.91,0,0.98,0,24.54,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,1.96,0,0.98,0,0,0,0,6.87,0,0.98,0,8.83,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,3.19,0,1.06,0,2.12,0,1.06,2.12,0,1.06,0,6.37,0,0,2.12,7.43,2.12,1.06,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,3.28,3.28,0,0,0,0,0,0,4.37,1.09,2.19,0,5.46,0,0,2.19,12.02,2.19,3.28,0,1.09,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0,2.3,1.53,0.77,2.3,0,0,0,0,3.83,0,0,0.77,5.36,0.77,0.77,0.77,16.85,2.3,1.53,0,2.3,0,0,0,2.3,1.53,1.53,0,0.77
120,0,0,0,3.92,1.96,0,0,0,0,0,0,5.88,0,0,0,3.92,0,0,0,9.8,1.96,1.96,0,5.88,0,0,0,0,0,0,0,0
