stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,30.65,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,21.03,0,26.29,0,0,63.09,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,389.05,2.63,0,0,136.69,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,40.91,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,195.11,9.44,0,0,59.79,0,3.15,3.15,3.15,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,12,1,8,0,0,4,1,0,0,0,0,0,0,0,0,15,0,0,9,181,1,0,1,3,0,1,0,25,2,0,12,46,0,0,3,0,0
 24-34,0,0,0.82,1.64,9.85,0,34.48,0,0.82,6.57,1.64,0,0,0,0,0,0,0.82,0,27.09,0,0,7.39,224.09,0.82,0.82,2.46,0,0,4.93,0,0,0,1.64,1.64,50.07,0,0,7.39,0,0
 36-46,0,0,0,0,6.45,0,66.06,0,0,7.25,0.81,0,0.81,0.81,0,0,0,0,0,24.98,0,0,5.64,153.88,0,0,0,0,0,5.64,0,0,0,0,0,37.87,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,51.64,0.57,0.57,13.2,0,0,0.57,0,0,0,0,0.57,0,29.26,0,0.57,5.16,91.81,0,0,0,0,0,1.15,0,0,0,0,0,13.77,0,0,0.57,0,0
 60-70,0,0,0,0,2.94,0.98,63.8,1.96,0.98,7.85,1.96,0,0,0.98,1.96,0,1.96,0,0,17.67,0,0.98,3.93,68.71,0.98,0.98,0,0,0.98,5.89,0,0,0,0,0,5.89,0,0,1.96,0,0
 72-82,0,0,0,0,4.91,2.94,67.73,0,0.98,19.63,1.96,0,0.98,0.98,0,0,0,0.98,0,45.16,0.98,2.94,6.87,124.67,0,2.94,0,0,0,5.89,0,0,0,0,0,13.74,0,0.98,3.93,0,0
 84-94,0,0,0,0,8.5,1.06,33.99,1.06,1.06,10.62,2.12,0,0,1.06,2.12,1.06,0,0,0,23.36,0,1.06,6.37,63.72,0,1.06,2.12,0,0,8.5,0,0,0,0,0,5.31,0,0,5.31,0,1.06
 96-106,0,0,0,0,5.46,2.19,33.88,0,2.19,10.93,2.19,0,1.09,0,0,1.09,2.19,0,0,33.88,2.19,0,1.09,39.34,0,1.09,1.09,0,0,5.46,0,0,0,0,0,3.28,2.19,1.09,4.37,2.19,0
108-118,0,0,1.53,0,6.89,1.53,22.98,2.3,1.53,14.55,2.3,0,0,3.06,0.77,0,0.77,0,0,25.28,1.53,1.53,3.83,54.38,0,0.77,3.06,0,0.77,6.13,0,0,0,0,0,3.06,0,0,2.3,0,1.53
120,0,0,0,0,7.84,1.96,19.6,3.92,0,7.84,0,0,0,0,0,0,0,1.96,1.96,13.72,0,0,3.92,90.15,0,1.96,1.96,0,1.96,11.76,0,0,0,0,0,1.96,1.96,0,3.92,0,1.96
