stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,9,2,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,7.39,0,0,0,0.82,0,0.82,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,8.86,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0,9.75,0,0,0,1.15,0,0,0,0,0,0,0,2.87,0,1.72,12.05,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,135.45,0.98,0,0,0,0,0,0,0,0,0,0,3.93,0,2.94,13.74,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,1.96,0,0,365.18,0.98,0,1.96,11.78,0,0,0,0.98,0.98,0,0,1.96,0,2.94,29.45,0,0,0,0,0,0,0,0.98,0.98,0,0,0.98
 84-94,0,0,3.19,1.06,0,202.85,1.06,2.12,1.06,12.74,0,1.06,0,0,0,0,0,6.37,0,5.31,15.93,1.06,0,0,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,2.19,1.09,2.19,261.19,1.09,2.19,0,14.21,0,0,1.09,0,0,1.09,2.19,8.74,1.09,1.09,17.49,0,0,0,4.37,0,0,0,0,0,2.19,0,1.09
108-118,0,0,3.06,0,0.77,180,0,0,0.77,6.89,1.53,0,1.53,0,0,0,0.77,4.6,0,3.06,19.15,0.77,0.77,0,0,0,0,0,0,0,0.77,0,0
120,0,1.96,1.96,1.96,0,166.58,1.96,0,0,9.8,0,0,3.92,0,0,0,3.92,11.76,0,1.96,41.16,0,1.96,0,0,0,0,0,0,0,1.96,0,0
