stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,62.94,3.15,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,11,0,0,0,1,1,0,0,0,0,3,0,27,40,3,0,0,1,49,2,0,0,3,0,0,0,1,1,1,4,17,0,1,0,39
 24-34,0,0,0,0.82,0.82,23.8,0,0,0.82,3.28,0,0,0.82,0,0,7.39,0,20.52,112.46,7.39,0,0,7.39,92.76,1.64,0.82,0,0,0,4.1,0,0,0.82,0,0.82,16.42,0,2.46,0,114.92
 36-46,0,0,0,1.61,0,20.95,0,0,0,0.81,0,0,0.81,0,0,24.98,0,7.25,91.04,7.25,0,0.81,1.61,56.4,0,0,0,0,0,4.03,0,0,0,0,0,8.06,0,0,0,86.21
 48-58,0,0,0,1.15,0,25.82,0,0.57,0,2.87,0,0,0.57,0.57,0,44.76,0,2.3,55.66,9.75,0,0,0,50.49,0,0,0,0,0,2.3,0,0,0,0,0,5.16,0,0.57,0,80.91
 60-70,0,0,0,0,1.96,41.22,0,0,0,7.85,0,0,0,0,0,97.17,0,1.96,25.52,19.63,1.96,0,0.98,87.36,0,0,0,0,0,1.96,0,0,0,0,0,3.93,0,0,0,63.8
 72-82,0,0,0,1.96,0,42.21,0,0,0.98,13.74,0,0,0,0,0.98,90.31,0.98,0,37.3,22.58,0,0.98,0.98,90.31,0,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0.98,0,41.23
 84-94,0,0,0,1.06,3.19,31.86,1.06,0,0,4.25,0,1.06,1.06,1.06,0,107.27,0,0,50.98,18.05,0,1.06,0,27.61,0,0,1.06,0,0,3.19,0,0,0,0,0,5.31,0,1.06,0,43.54
 96-106,0,0,0,1.09,4.37,19.67,0,1.09,1.09,3.28,0,0,0,1.09,1.09,98.36,1.09,4.37,46.99,18.58,1.09,0,0,39.34,1.09,0,0,0,0,4.37,0,0,0,0,0,2.19,0,3.28,1.09,54.64
108-118,0,0,0,1.53,0.77,7.66,0,0,0,3.83,2.3,0,0,0.77,0.77,130.98,0.77,0,53.62,19.92,0,0,2.3,37.53,0.77,0,1.53,0,0.77,3.83,0,0,0.77,0,0,1.53,0.77,1.53,0,54.38
120,0,0,0,3.92,1.96,19.6,0,1.96,0,5.88,0,0,0,1.96,0,82.31,0,0,25.48,7.84,0,0,1.96,48.99,1.96,1.96,1.96,0,0,0,0,0,0,0,0,7.84,1.96,1.96,0,19.6
