stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,128.72,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,18.4,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,5.26,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,3,0,2,0,0,0,0,0,1,1,0,1,0,0,0,2,4,0,0,1,21,0,0,1,1,4,1,1,1,2,14,0,0,6,0,4
 24-34,0,0,0,1.64,10.67,6.57,0,8.21,0,0.82,0,2.46,0.82,1.64,0,1.64,2.46,0,0.82,0.82,6.57,8.21,2.46,0,3.28,55.82,0,2.46,5.75,0,52.53,0,5.75,0,1.64,13.13,0,0,20.52,0,30.37
 36-46,0,0,0.81,0,1.61,3.22,0,12.09,0.81,2.42,0.81,1.61,0.81,0,0,0.81,0.81,0,0.81,0,7.25,13.7,0.81,0,2.42,41.09,0.81,4.83,3.22,0,37.06,0,0,0,0,4.83,0,0,9.67,0,26.59
 48-58,0,0,0.57,0,4.02,5.16,0,5.16,0,1.72,1.15,4.59,0,0.57,0.57,0.57,2.3,0,0.57,0,6.89,16.64,0,0,2.87,21.23,0.57,2.87,2.87,0,24.1,0,1.15,0.57,0,5.74,0,0,13.2,0,30.99
 60-70,0,0,0,0,4.91,9.82,0,19.63,0,0.98,5.89,5.89,0,0.98,0.98,5.89,2.94,0.98,5.89,0,1.96,28.46,2.94,1.96,6.87,18.65,1.96,0.98,1.96,0,34.35,0,1.96,0,0,3.93,0,0,9.82,0,19.63
 72-82,0,0,0.98,0,14.72,27.49,0,26.5,0.98,1.96,3.93,7.85,0.98,0,0,5.89,5.89,2.94,2.94,0.98,0.98,42.21,5.89,0.98,3.93,19.63,0,10.8,6.87,0,28.47,0,1.96,0,0,1.96,0.98,0,22.58,0.98,12.76
 84-94,0,0,1.06,0,9.56,24.43,0,30.8,1.06,10.62,5.31,6.37,3.19,2.12,1.06,13.81,7.43,3.19,3.19,1.06,7.43,25.49,2.12,0,4.25,11.68,1.06,3.19,7.43,0,112.58,0,3.19,1.06,0,1.06,3.19,0,13.81,0,12.74
 96-106,0,0,0,0,20.76,26.23,1.09,42.62,0,7.65,3.28,14.21,7.65,0,1.09,7.65,17.49,3.28,7.65,3.28,7.65,41.53,6.56,1.09,1.09,17.49,0,10.93,14.21,0,89.61,0,7.65,0,0,0,3.28,3.28,30.6,3.28,20.76
108-118,0,0,2.3,0,32.17,9.96,0.77,44.43,2.3,11.49,2.3,10.72,16.09,0,0.77,10.72,11.49,8.43,6.89,6.13,19.92,36.77,0,1.53,4.6,19.92,1.53,9.96,6.13,0,94.21,0,9.19,0.77,0,0,0.77,1.53,24.51,0.77,31.4
120,1.96,0,0,0,41.16,11.76,0,19.6,3.92,9.8,5.88,7.84,19.6,0,1.96,9.8,5.88,3.92,3.92,5.88,3.92,41.16,3.92,3.92,5.88,23.52,1.96,13.72,9.8,0,107.79,0,7.84,1.96,0,0,3.92,0,25.48,0,9.8
