stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,2.87,0.57,0,0.57,3.44,0,0,0,0
 60-70,0,0,0.98,2.94,0.98,0.98,0,0,0,0,2.94,0,0.98,0,2.94,0,0,0,0
 72-82,0.98,0,0,1.96,0,0.98,0,0,0.98,0,2.94,0,1.96,0,0.98,0,0.98,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,1.09,1.09,14.21,0,2.19,0,7.65,0,0,0,1.09
108-118,0,0.77,0,0,0,1.53,0.77,0,3.06,0,10.72,0,0.77,0,3.83,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,1.96,0,5.88,0,1.96,0,0
