stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,6.29,0,0,0
 14-21,0,10,8,0,0,0,0,0,1,0,0,0,0,4,6,19,0,0,0,0,1,4,1,7,13,0
 24-34,0,0.82,0.82,0,3.28,0,0,0,0.82,0.82,0.82,0,0.82,6.57,0.82,36.94,0,0.82,0,0,2.46,0,0,0.82,12.31,0
 36-46,0,0,0,0,9.67,0,0,0,0.81,0,0,0,0,8.06,1.61,29.81,0,0,0.81,0,0.81,0,0,0,8.06,0
 48-58,0,1.72,0,0,14.92,0,0,0,3.44,0.57,0.57,0,0,8.03,0.57,38.44,0,0.57,0.57,0,0,0,0.57,0,5.74,0.57
 60-70,0,0.98,0,0,12.76,0,0,0,0.98,0,0,0,0,6.87,0.98,23.56,0,0,0,0,1.96,0,0,0,1.96,0
 72-82,0,2.94,0,0,13.74,0,0,0.98,1.96,0,0,0,0,11.78,0,17.67,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,5.31,2.12,1.06,1.06,2.12,0,1.06,0,0,6.37,1.06,9.56,0,0,1.06,0,2.12,0,0,0,0,0
 96-106,0,1.09,0,0,8.74,0,0,0,1.09,0,0,1.09,0,3.28,0,4.37,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0.77,4.6,0,0,0.77,0,0,0,1.53,0,0.77,0,9.19,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0
