stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,1.64,0.82,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,2.42,0.81,0,3.22,0,0,0,0,0,0
 48-58,0,0,0,10.33,0,0,0,0,0,1.72,2.87,0,2.3,0,0,0,0.57,0,0
 60-70,0,0,0,22.58,0,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0,0.98
 72-82,0,0,0,41.23,0,0,0,0,0,8.83,4.91,0.98,2.94,0,0.98,0,3.93,0,8.83
 84-94,0,0,1.06,86.03,0,0,0,0,0,0,4.25,0,0,0,1.06,1.06,5.31,0,7.43
 96-106,0,0,1.09,103.82,1.09,2.19,1.09,1.09,0,0,1.09,0,7.65,1.09,2.19,0,2.19,3.28,16.39
108-118,0,0,0,111.06,0,0.77,0,0,0.77,0.77,1.53,0,3.83,0,0,0.77,0,0,9.19
120,0,0,0,43.12,0,3.92,1.96,0,0,1.96,0,0,3.92,0,0,1.96,0,0,9.8
