stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,1,1,1,3,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,1.64,0,0.82,0,0,0,0,0,2.46,0.82,20.52,0,0.82,0,0,0,3.28,0,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0.81,6.45,0,0,0,0,0,5.64,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,2.87,2.3,0,0,0,0,0,0,4.02,0,3.44,0,0,0,0,0,5.74,0,1.15,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,2.94,9.82,0,0,0,0,0,0,4.91,0,3.93,0,0,0,0,0,7.85,0,0.98,0,0,0,0,0
 72-82,0,0,6.87,0,0,0,0,0.98,0,0.98,1.96,115.84,0,0,0,1.96,0,0,11.78,0,18.65,0,0,0,0,0,6.87,0,0,0,0,1.96,0,0.98
 84-94,0,0,7.43,0,0,0,0,3.19,0,1.06,3.19,224.09,0,0,0,0,1.06,0,10.62,1.06,15.93,0,3.19,0,3.19,0,7.43,0,1.06,0,0,0,1.06,0
 96-106,0,0,13.11,0,1.09,4.37,0,9.84,0,1.09,3.28,455.72,0,0,0,0,1.09,2.19,20.76,0,62.29,2.19,0,0,3.28,0,8.74,0,0,1.09,0,1.09,0,5.46
108-118,0,0,9.19,0,0.77,1.53,0.77,6.13,1.53,0.77,6.13,533.11,0,2.3,0.77,2.3,0,3.06,10.72,0,61.28,0,3.06,0,2.3,0,6.13,0,0.77,0,0,0,0,0.77
120,0,0,13.72,0,3.92,3.92,0,5.88,0,0,0,393.92,0,5.88,0,0,0,5.88,5.88,0,50.95,0,0,0,0,0,5.88,0,0,0,1.96,1.96,0,0
