stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,2,0,1,6,2,0,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,4.93,0,0,0,0.82,0.82,0,0,4.1,0,2.46,21.34,0,0.82,1.64,0,0,0,0,0,11.49,0,0,0,0
 36-46,0,0,9.67,0,0.81,0,2.42,0,0,0,3.22,0,1.61,25.78,0,1.61,2.42,0,0,0,0,0,12.89,0,1.61,0,0.81
 48-58,0,0.57,14.35,0,0,0,3.44,0,0,0,11.48,0,1.72,14.35,0.57,1.15,0.57,0,0,0,0,0,7.46,0,0,0,1.15
 60-70,0,0.98,9.82,0,0,0,4.91,0,0.98,0,11.78,0,1.96,11.78,0,1.96,0,0,0,0,0,0,7.85,0,1.96,0,0
 72-82,0,2.94,16.69,0.98,0,1.96,8.83,0,1.96,0.98,11.78,0,0.98,16.69,0,2.94,0.98,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,2.12,9.56,0,0,1.06,3.19,0,0,0,8.5,0,0,7.43,0,0,0,0,0,2.12,1.06,0,2.12,0,0,0,0
 96-106,0,3.28,4.37,2.19,0,0,6.56,1.09,0,0,13.11,0,0,9.84,0,1.09,1.09,0,0,3.28,0,0,1.09,0,1.09,0,1.09
108-118,0,3.83,4.6,0.77,0.77,0,3.06,0,1.53,0,4.6,0,0.77,9.19,0,0,0,0,0.77,3.83,0,0,0,0.77,0,0.77,0
120,0,5.88,1.96,0,0,0,0,0,1.96,0,5.88,1.96,1.96,3.92,0,1.96,1.96,0,0,3.92,0,0,0,0,1.96,0,0
