stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,5.74,0,0,0,0,0,1.15,0,0,1.72,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,21.59,0,0,0,1.96,0,1.96,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,13.74,0,0.98,1.96,11.78,0,0.98,135.47,0.98,0,0,2.94,0,14.72,0,0.98,21.6,0,0,0,9.82,0,0,0,1.96
 84-94,6.37,0,0,1.06,10.62,0,1.06,208.16,0,0,2.12,1.06,0,9.56,1.06,0,9.56,0,0,1.06,8.5,1.06,0,0,0
 96-106,9.84,0,5.46,1.09,16.39,0,1.09,193.43,0,1.09,0,2.19,0,18.58,0,0,19.67,0,0,2.19,43.71,0,0,2.19,1.09
108-118,2.3,0,2.3,2.3,36.77,0,3.06,129.45,1.53,0,0,1.53,0.77,22.21,0,0,12.26,0.77,0,1.53,64.34,0,0.77,0.77,0
120,1.96,0,1.96,1.96,13.72,1.96,0,80.35,1.96,0,0,1.96,0,15.68,0,1.96,7.84,0,0,0,41.16,1.96,0,0,0
