stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,27,0,0,24,9,0,0,1,0,0,0,1,1,1,0,0,0,0,1
 24-34,0,0,0,0,4.93,0,0,0,9.03,1.64,0,0,0,0,0.82,0.82,0,0.82,59.92,0,0,40.22,82.09,1.64,4.1,0.82,0,0,0.82,0,4.1,8.21,0,0,0,0,0.82
 36-46,0,0,0,0,3.22,0,3.22,0,7.25,4.83,0,0,0,0,0,0,0,6.45,66.06,0,0,28.2,219.95,0,4.83,0,0,0,0,0,0,27.39,0,0,0,0,4.03
 48-58,0,0,0,0,0,0,11.48,0.57,3.44,8.61,5.74,0,0,0,0,0,0,3.44,73.45,0,0.57,18.94,317.31,0,4.02,0,0,0,1.72,0,0,37.87,0,0,0,0,2.87
 60-70,0,0,0,0,0.98,0,47.11,0,0,11.78,3.93,0,0,0,0,0.98,0,4.91,86.37,0.98,0.98,4.91,653.69,0,5.89,0,0,0,0,0,0,52.02,0.98,0,0.98,0.98,5.89
 72-82,0,0,0.98,0,2.94,0,69.7,0.98,0.98,9.82,14.72,0.98,0,0,0,0,0,0.98,128.6,0,0.98,9.82,572.31,0,6.87,0,0,0,0.98,0,0,35.34,0,1.96,0,0.98,1.96
 84-94,0,0,0,0,3.19,0,52.04,1.06,1.06,4.25,12.74,0,1.06,2.12,0,2.12,1.06,5.31,95.58,0,0,7.43,314.36,0,5.31,1.06,0,0,3.19,0,0,27.61,0,1.06,1.06,2.12,5.31
 96-106,0,0,0,0,2.19,1.09,43.71,1.09,0,6.56,16.39,1.09,0,0,0,0,0,2.19,69.94,0,0,6.56,220.76,0,4.37,0,0,1.09,0,0,0,8.74,0,1.09,0,1.09,6.56
108-118,0,0,0,0,2.3,0.77,26.04,0,0,3.83,9.96,0,0,0,0.77,1.53,0,4.6,48.26,0,0,3.06,242.81,0,3.83,0,0,0,1.53,0,0,13.02,0.77,0,0,0.77,0.77
120,0,0,0,0,1.96,1.96,33.32,0,0,1.96,7.84,1.96,0,0,0,0,0,3.92,33.32,0,0,5.88,286.13,0,1.96,0,0,0,1.96,0,0,13.72,0,0,0,0,0
