stage,epidermis,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord
 14-21,2,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0.82,0,0,0,0.82
 36-46,0,0,0,0.81,0,0.81,0,2.42,0,0,0,2.42
 48-58,0,0.57,0,0.57,0,0,0,1.15,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,3.93,0.98,0,0.98,0,0,0
 84-94,1.06,1.06,0,0,1.06,2.12,0,0,0,0,0,0
 96-106,0,1.09,0,0,1.09,10.93,1.09,1.09,0,0,0,0
108-118,0,0.77,0,0.77,0,4.6,1.53,2.3,0,0.77,0,0
120,0,1.96,1.96,0,1.96,1.96,1.96,1.96,0,0,1.96,0
