stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,9.44,0,0,138.47,0,0,0,9.44,6.29,0,3.15,6.29,0,0,0,0
 14-21,0,0,0,2,7,2,0,12,0,0,0,3,0,0,0,0,0,0,0,7,0,0,6,125,0,0,2,1,0,0,0,36,0,51,115,56,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,13.13,2.46,0,0,4.1,0,0.82,0,0,0,0,0.82,9.03,0,0,9.03,250.36,0,3.28,0,0,0,1.64,0,0,0,9.85,8.21,73.06,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,30.62,3.22,0,0.81,10.47,0,0,0,0,0,0,0.81,12.09,0,0,7.25,377.05,0,0,0,0,0.81,0,0.81,0,0,5.64,0,85.4,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,57.95,6.89,1.15,0,37.87,0,0,0,0,0.57,0,0,22.95,0,0.57,12.62,379.29,0,0,1.15,0,0,0.57,0,0,0,4.02,0,87.79,0,1.15,0,2.3
 60-70,0,0,0,0,1.96,0,0,136.43,8.83,0,0,110.91,0,0,0,0,0,0,0,14.72,0,0,14.72,499.59,0,0,0.98,0,0,1.96,0,0,0,0.98,0,55.95,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,0.98,0,182.59,6.87,0.98,0,193.39,0.98,0,0,0,0,1.96,0,17.67,0.98,0,8.83,470.22,0,0.98,0,0,0,0,0,0,0,1.96,0,47.12,0.98,1.96,0.98,0
 84-94,0,0,1.06,0,6.37,1.06,0,90.27,6.37,2.12,0,96.65,0,0,0,3.19,0,0,0,16.99,0,0,10.62,253.83,0,0,1.06,0,1.06,0,0,0,0,8.5,0,20.18,1.06,0,0,0
 96-106,0,0,0,0,2.19,2.19,0,103.82,16.39,0,0,181.41,0,0,0,1.09,0,1.09,0,17.49,0,0,9.84,196.71,0,0,1.09,0,0,1.09,0,0,0,4.37,0,16.39,0,1.09,1.09,0
108-118,0,0,0,0,3.06,3.06,0.77,73.53,14.55,0,1.53,154.72,0,0,0,0,1.53,2.3,0,12.26,0,0,9.19,208.34,0.77,0.77,0.77,0,0,1.53,0,0,0.77,8.43,0,13.79,0,2.3,0,1.53
120,0,0,0,0,9.8,0,1.96,97.99,11.76,0,1.96,139.14,0,0,1.96,1.96,0,0,0,15.68,0,0,19.6,235.17,0,0,0,0,0,0,0,0,0,3.92,0,17.64,0,0,0,0
