stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,2,0,0,0,0,1,1,1,2,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,69.77,0.82,0,0,0.82,13.95,0,0,0,0,0,0,2.46,1.64,0,0,0,4.93
 36-46,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0.81,0,0,0.81,0,131.32,2.42,0,0,0,10.47,0,0,0,0,0,0.81,0,4.03,0,0.81,0,23.36
 48-58,0,0,0,0,0,5.74,0,0,0,0.57,0,0,0,0,0,1.15,0,99.27,2.87,0,0,0,12.05,0,0,0,0,0,0,0,4.59,0,0,0,77.46
 60-70,0,0,0,0,0,2.94,0,0,0.98,2.94,0,0,0,0,0.98,0.98,0,71.65,3.93,0,0,2.94,6.87,0.98,0,0,0,0,0,0,0.98,0,0,0,89.32
 72-82,0,0,0,0,0,7.85,0,0.98,0,4.91,0,0,0,0,0,10.8,0.98,59.88,6.87,0,0.98,0.98,8.83,0,0,0,0.98,0,0,0,1.96,0,1.96,0,77.55
 84-94,0,0,0,2.12,0,8.5,1.06,0,0,1.06,1.06,0,0,1.06,0,7.43,1.06,106.2,4.25,0,1.06,1.06,4.25,0,1.06,0,1.06,0,0,0,1.06,0,0,0,74.34
 96-106,0,0,0,1.09,1.09,14.21,0,0,0,8.74,1.09,0,0,4.37,0,4.37,1.09,72.13,10.93,1.09,1.09,0,15.3,0,0,0,2.19,0,0,0,0,1.09,1.09,1.09,97.26
108-118,0,0,0,0,1.53,8.43,0,0.77,0,7.66,0.77,0,0,1.53,0,9.19,0,99.58,6.13,0,0,2.3,13.79,0.77,0.77,0,0,0,0.77,0,0.77,0,0,0,118.72
120,0,0,0,0,1.96,5.88,0,0,0,0,3.92,0,0,0,0,0,0,43.12,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,47.03
