stage,blastomeres,epidermis,eye,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,18.4,0,0,2.63,0,0,0
 10-12,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,6,0,0,0,1,1,0
 24-34,0,0,0.82,0,0,0.82,4.1,0.82,0.82,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,0,0.81,0
 48-58,0,0,1.72,0,0,0,2.3,0,0,0,0,0,0
 60-70,0,0.98,1.96,0.98,0,0.98,1.96,0,0,0,0,0,0
 72-82,0,0,1.96,1.96,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,2.19,1.09,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,0,0.77
