stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,53,2,1,0,3,0,0,0
 24-34,0,1.64,0.82,6.57,0.82,0,0,0,0,0,0,0,0.82,0.82,0,1.64,19.7,0,1.64,0,210.14,0,1.64,0,1.64,0,0,0
 36-46,0,1.61,0,4.83,0,2.42,0,0,0,0,0,0,0.81,0.81,0,1.61,23.36,0.81,0,0,199.81,0,0,0.81,4.83,0,0,0
 48-58,0.57,2.3,0.57,9.75,0,1.72,0,0,0,0,0,0,4.59,0,0,1.15,14.35,0,0,0,68.28,0,0,0,3.44,0,0,0
 60-70,0,0.98,0,7.85,0,0.98,0,0,0,0,0,0,4.91,0.98,0,1.96,8.83,0.98,0,0,78.52,0,0,0,0.98,0.98,0,0
 72-82,0,6.87,0,7.85,0.98,0,1.96,0,0,0.98,0.98,0,7.85,0,0,1.96,3.93,0,0.98,0,68.72,0,0,0,0,0,0.98,0.98
 84-94,0,13.81,0,3.19,2.12,0,0,2.12,0,1.06,0,0,3.19,0,0,0,7.43,1.06,0,0,189.04,0,0,0,0,0,1.06,0
 96-106,0,19.67,1.09,5.46,0,1.09,2.19,0,1.09,1.09,1.09,1.09,4.37,0,0,1.09,8.74,0,0,0,144.26,0,0,0,0,0,0,0
108-118,0,26.04,0.77,4.6,4.6,0.77,2.3,0,0,0.77,0,0,0.77,0,0.77,0.77,2.3,0,0.77,0,124.09,0,0,0,0.77,0,0,0
120,0,68.59,0,3.92,1.96,0,1.96,0,0,1.96,0,0,3.92,0,1.96,0,5.88,0,0,0,205.78,0,0,0,0,1.96,0,0
