stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,67.43,6.13,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,5.26,5.26,0,0,0,0,0,2.63,0,0,0,0,99.89,13.14,94.63,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,72.38,6.29,141.61,0,0,6.29,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,2,8,0,2,0,56,0,63,10
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0,5.75,2.46
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0.57,0,1.15,0,0,0,0,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
