stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,9,13,0,0,2,0,0,0,5,1,9,111,10,0,0,0,0,0
 24-34,0,0,0,0,8.21,0,0,3.28,0,1.64,1.64,0.82,0,0,1.64,0,0,0,0,25.45,0.82,15.6,29.55,1.64,0,0,0,0,0.82,0,5.75,8.21,9.03,11.49,0,0,8.21,0,0.82
 36-46,0,0,0,0,5.64,1.61,0,1.61,1.61,0,1.61,0,0,0,2.42,0,0,2.42,0,22.56,0.81,11.28,41.89,0.81,0,4.03,0,0,0,0,4.03,0.81,0.81,8.06,0,0,4.03,0,0
 48-58,0,0,0,0.57,5.16,1.15,0,5.74,0.57,0,4.02,1.72,0,0,1.72,0,0,0,0,35,3.44,10.9,60.25,1.72,0,10.33,0,0,0,0,2.87,1.15,0.57,10.33,0,0,5.74,0,0
 60-70,0,0,0,0,5.89,0,0,9.82,5.89,0,0,6.87,0.98,0,0,0,0,0,0,79.5,8.83,10.8,140.36,0,0,19.63,0,0,0,0,2.94,4.91,0,9.82,0,2.94,4.91,0.98,0
 72-82,0,0,0,0,4.91,1.96,0,23.56,8.83,0,5.89,5.89,1.96,0,4.91,7.85,0.98,3.93,1.96,147.25,19.63,22.58,134.49,0,1.96,37.3,0,1.96,0.98,0,10.8,1.96,0,6.87,0,0.98,4.91,4.91,0
 84-94,0,0,0,0,5.31,1.06,0,21.24,5.31,0,0,3.19,0,0,5.31,7.43,0,3.19,1.06,110.45,13.81,13.81,71.16,1.06,0,53.1,0,1.06,1.06,0,12.74,5.31,0,2.12,2.12,4.25,6.37,16.99,0
 96-106,0,0,1.09,0,6.56,3.28,1.09,24.04,13.11,0,0,7.65,0,0,6.56,9.84,0,6.56,1.09,101.63,10.93,13.11,57.92,3.28,0,52.46,1.09,4.37,7.65,0,4.37,3.28,0,3.28,3.28,6.56,4.37,14.21,0
108-118,0,0,0,0,5.36,3.06,0.77,11.49,9.19,0.77,2.3,6.13,0.77,0,3.06,9.19,0,4.6,1.53,88.09,12.26,13.79,58.98,3.06,0,56.68,0,0.77,1.53,0,7.66,3.06,0,0.77,4.6,10.72,3.06,5.36,0
120,1.96,0,0,0,15.68,0,0,23.52,7.84,0,0,3.92,5.88,0,7.84,23.52,0,5.88,0,135.23,13.72,19.6,109.75,1.96,1.96,60.75,1.96,3.92,1.96,0,11.76,3.92,0,5.88,5.88,3.92,15.68,21.56,0
