stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,398.43,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,6.29,0,0,18.88,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,24,9,0,8,0,1,0,5,1,0,1,0,0,0,0,0,10,0,0,6,172,2,0,3,4,0,1,1,14,5,0,8,74,0,0,2,0,0
 24-34,0,0,0,1.64,10.67,3.28,0,32.83,0,0,1.64,9.03,0,0,0,0.82,1.64,0,1.64,0,18.88,0,0,11.49,285.66,2.46,0.82,0.82,0,0,7.39,0,0,4.1,0,2.46,86.19,0,0,11.49,0,0.82
 36-46,0,0,0,0,4.03,0,0,23.36,0,1.61,0.81,16.92,0.81,0,4.03,0,0.81,0,0,0,19.34,0.81,1.61,11.28,206.25,1.61,0,0.81,0,0,1.61,0,0,0.81,0,0,75.73,0,0,7.25,0,0
 48-58,0,0,0,0,2.87,2.87,0,9.18,0,0,1.15,20.66,0,1.15,3.44,0,1.15,0,1.72,0,22.38,1.15,0.57,2.87,71.15,0,0.57,1.15,0,0.57,1.15,0,0,0,0,0,24.67,0,0,13.77,0,0.57
 60-70,0,0,0,0,10.8,5.89,0,6.87,0,6.87,0,24.54,0,0.98,2.94,0.98,5.89,0,2.94,0,44.17,1.96,1.96,2.94,51.04,1.96,0.98,0.98,0,0,3.93,0,0,1.96,0,0,15.7,0,0,21.59,0,0
 72-82,0,0,0,0,10.8,29.45,0,14.72,0,0,4.91,31.41,1.96,0,10.8,2.94,13.74,0,6.87,0,80.5,2.94,0.98,10.8,39.27,0.98,1.96,4.91,0,0,4.91,0,0,0,0,0,6.87,0,3.93,63.81,0,0.98
 84-94,0,0,1.06,1.06,41.42,19.12,0,9.56,0,4.25,1.06,16.99,3.19,2.12,8.5,1.06,15.93,0,2.12,1.06,63.72,0,4.25,5.31,28.68,1.06,1.06,4.25,0,1.06,28.68,0,0,2.12,1.06,0,2.12,0,1.06,53.1,3.19,0
 96-106,0,0,0,0,28.41,25.14,0,13.11,0,5.46,4.37,18.58,6.56,0,13.11,4.37,19.67,0,5.46,0,83.06,2.19,4.37,10.93,36.06,1.09,0,10.93,0,0,20.76,0,0,0,0,0,3.28,1.09,3.28,67.76,5.46,0
108-118,0,0,0,0,29.87,13.02,1.53,7.66,1.53,13.79,1.53,19.15,7.66,0,3.06,4.6,8.43,2.3,1.53,1.53,83.49,1.53,5.36,7.66,42.89,0.77,0,3.83,0,0.77,16.09,0,0,3.06,0.77,0,2.3,0.77,1.53,68.94,1.53,0.77
120,0,0,0,0,58.79,13.72,0,9.8,0,5.88,0,11.76,7.84,0,9.8,1.96,9.8,1.96,3.92,0,60.75,0,5.88,3.92,52.91,1.96,1.96,9.8,0,0,48.99,0,0,1.96,0,0,1.96,0,0,62.71,0,0
