stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros
  3-4,197.67,3782.07,0,0,0,0,0,0,0,79.07,0,0
  5-6,257.44,2292.48,6.13,0,0,0,36.78,12.26,36.78,12.26,0,0
  7-9,28.92,34.17,26.29,0,152.47,31.54,964.74,15.77,378.53,2.63,2.63,0
 10-12,0,75.53,66.09,6.29,141.61,12.59,1639.57,18.88,547.57,0,9.44,56.65
