stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,10,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,1,7,0,0,0,0,22,2,0,0,5,0,0,1
 24-34,0,0,0,1.64,4.1,0,1.64,0.82,0,0.82,0,0,0,1.64,0,0.82,0.82,0,3.28,0,0,31.19,0,0.82,6.57,0,45.15,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0.81,0,0,0,2.42,0,1.61,0,0.81,1.61,0,0,41.89,0,0.81,2.42,0,36.26,0,0.81,0,3.22,0,0,1.61
 48-58,0,0,0,0,4.59,0,4.02,0.57,0,0.57,0,2.87,0,0.57,0,0.57,0.57,1.15,1.15,0.57,0,17.79,0,1.72,2.3,0,32.71,0,0.57,0.57,1.15,0,0,0
 60-70,0,0,0,0,6.87,0,3.93,0.98,0,1.96,0.98,0.98,0,0.98,0,0.98,0,0.98,0.98,0,0,9.82,0,1.96,2.94,0,42.21,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,5.89,0,0,0,0,1.96,3.93,0,0,1.96,0,5.89,0,1.96,0.98,0,0.98,11.78,0,0.98,2.94,0,46.14,0,0,0,0,1.96,0,0.98
 84-94,0,0,1.06,0,10.62,0,0,1.06,0,0,8.5,1.06,1.06,5.31,0,3.19,0,0,1.06,0,0,3.19,0,7.43,6.37,0,159.31,0,0,0,0,3.19,0,0
 96-106,0,0,1.09,0,9.84,1.09,3.28,3.28,0,1.09,17.49,0,0,2.19,1.09,13.11,1.09,0,2.19,0,0,5.46,0,3.28,5.46,0,127.86,0,0,0,1.09,5.46,1.09,0
108-118,0,0,0,0,16.09,0.77,2.3,6.13,0.77,0,22.98,0,0,3.83,0,8.43,0,0.77,3.83,0,0,6.13,0,2.3,5.36,0,75.83,0,1.53,0,0,7.66,0,0
120,0,0,0,0,11.76,0,0,5.88,0,1.96,9.8,0,0,5.88,0,1.96,0,1.96,3.92,0,0,1.96,0,1.96,0,0,54.87,0,1.96,0,0,0,0,0
