stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,18,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,6,45,2,0,1,1,0,0,23,0,6,39,12,0,0,1,0,0
 24-34,0,0,0,0,39.4,4.93,0,13.95,0,101.79,38.58,2.46,0,0,0,1.64,0,1.64,0.82,0.82,34.48,0,0,78.8,124.77,4.93,0,1.64,0,0.82,6.57,0,0.82,3.28,170.74,39.4,0,0,4.1,0,0
 36-46,0,0,0.81,0,10.47,0,0,36.26,1.61,181.28,110.38,10.47,1.61,0,2.42,1.61,0,1.61,0,1.61,62.04,0,0,98.29,228.81,5.64,0.81,1.61,0,0,8.86,0,0,6.45,0.81,67.68,0,0,4.83,0,3.22
 48-58,0,0,0.57,0,15.49,1.15,0,107.3,1.15,218.05,149.76,23.53,1.15,0,1.72,1.15,0.57,1.15,0.57,1.15,100.42,0.57,1.72,47.63,301.82,2.3,1.72,2.3,0,0,9.75,0,0.57,1.72,0,70.58,0,0.57,5.16,0,5.16
 60-70,0.98,0,0,0,15.7,0,0,124.65,0.98,248.33,183.54,21.59,0,0.98,0.98,0,0,0.98,0.98,0.98,95.21,0,1.96,27.48,202.19,0,0.98,0.98,0,1.96,15.7,0,0.98,0,0,31.41,0,0,4.91,0.98,5.89
 72-82,0,0,0,0,26.5,8.83,0,160.99,0,219.89,274.87,43.19,3.93,1.96,0,1.96,0,2.94,2.94,0.98,167.86,0.98,1.96,37.3,241.49,0.98,4.91,2.94,0,0.98,23.56,0,1.96,0,0,25.52,1.96,3.93,7.85,2.94,7.85
 84-94,0,0,0,0,22.3,6.37,0,114.7,0,354.72,206.04,20.18,5.31,3.19,3.19,8.5,2.12,2.12,0,1.06,128.51,2.12,3.19,31.86,99.83,1.06,1.06,4.25,0,0,35.05,0,1.06,0,0,18.05,6.37,3.19,2.12,4.25,1.06
 96-106,1.09,0,2.19,1.09,53.55,21.86,2.19,98.36,4.37,414.19,201.08,18.58,7.65,0,14.21,6.56,5.46,4.37,9.84,0,125.68,1.09,1.09,13.11,140.98,1.09,4.37,4.37,0,1.09,43.71,0,2.19,0,0,7.65,1.09,4.37,10.93,3.28,5.46
108-118,0,0,1.53,0,36,11.49,3.83,75.06,2.3,536.17,189.19,29.11,9.96,1.53,3.83,4.6,2.3,1.53,4.6,0.77,98.04,1.53,2.3,20.68,154.72,0.77,7.66,6.89,0,0,29.87,0,0.77,0.77,0,8.43,1.53,0.77,2.3,2.3,2.3
120,0,0,0,0,39.2,7.84,1.96,45.08,0,407.64,237.13,13.72,7.84,0,0,1.96,1.96,1.96,7.84,0,88.19,3.92,0,19.6,139.14,3.92,1.96,1.96,0,1.96,23.52,0,0,1.96,0,5.88,0,0,3.92,3.92,1.96
