stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,42.06,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,742.68,6.29,0,0,18.88,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1267,0,4,10,0,0,2,3,0,20,0,0,0,0,2,6,0,0,10,25,0,1,1,9,0,1,1,0,1,7,0,0,0,0,0
 24-34,0,0,0,7.39,815.11,0,3.28,64.03,0,0,3.28,0,0,56.64,0,4.93,0,0,4.1,15.6,0,2.46,36.94,87.01,0.82,0,0,10.67,0,0,17.24,0,0,7.39,0,0,2.46,0,0.82
 36-46,0,0,0,0,411.7,0,4.83,75.73,0.81,0,5.64,0,0,25.78,0,4.03,0,0,8.06,3.22,0,2.42,14.5,96.68,6.45,0.81,0,8.06,0,0,12.09,0.81,0,11.28,0,0,1.61,0,0
 48-58,0,0,0,0.57,308.13,0.57,7.46,92.38,1.72,2.3,4.02,0.57,0,8.03,0.57,2.87,0.57,0,6.31,4.59,0,0.57,26.4,49.92,4.02,1.15,0,2.87,0,0,7.46,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,340.59,0,7.85,105.02,15.7,1.96,13.74,1.96,0,8.83,0,3.93,0,0,11.78,3.93,0.98,0,10.8,47.11,1.96,0,0,5.89,0,0,10.8,0,0,1.96,1.96,1.96,0.98,0.98,0
 72-82,0,0,0,0,330.82,0.98,10.8,82.46,9.82,2.94,24.54,0,0.98,22.58,0,4.91,0.98,0,11.78,6.87,0.98,1.96,16.69,25.52,6.87,3.93,0,2.94,0,0,6.87,0,0,2.94,0,0.98,0,0,2.94
 84-94,0,0,2.12,1.06,534.2,0,14.87,146.56,11.68,3.19,47.79,4.25,0,42.48,0,4.25,1.06,1.06,15.93,7.43,0,1.06,9.56,49.92,3.19,3.19,0,9.56,0,0,11.68,0,0,1.06,8.5,1.06,0,2.12,0
 96-106,0,0,4.37,0,581.39,1.09,9.84,136.61,6.56,1.09,34.97,0,1.09,60.11,2.19,1.09,1.09,0,19.67,8.74,0,1.09,24.04,43.71,7.65,7.65,0,6.56,0,0,7.65,1.09,0,1.09,7.65,0,0,2.19,0
108-118,0.77,0,1.53,0,553.03,0.77,7.66,186.13,9.19,2.3,49.79,0,0,46.72,0.77,4.6,2.3,0,23.74,5.36,0,0.77,9.96,51.32,8.43,8.43,0,2.3,0,0,14.55,0,0,0.77,11.49,0,0.77,1.53,0
120,1.96,0,1.96,0,417.43,1.96,3.92,125.43,5.88,0,23.52,0,1.96,19.6,0,9.8,0,0,17.64,9.8,0,0,7.84,64.67,3.92,3.92,0,3.92,0,0,13.72,0,0,0,0,0,0,0,0
