stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,43,0,2,0,1,0,1,1,2,2,25,0,0,0,0,0
 24-34,0,0,4.1,0.82,3.28,0,7.39,0,0,0,0.82,0,0,0,0,0,0,0,0,5.75,0,0.82,0.82,476.92,0,19.7,2.46,0,0,5.75,0,0,0.82,91.94,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,22.56,0,0,1.61,3.22,0,0,0,0,0,0,0,0,11.28,0,0,1.61,1382.53,0,27.39,0,0,0,1.61,0.81,0,0,198.19,0,0,0.81,0,0
 48-58,0,0,0,0,4.59,0,129.11,0.57,1.15,0.57,13.2,0.57,1.15,0,0,1.15,0,0,0,25.25,0,0,4.02,2043.89,1.15,17.79,1.72,0,0,1.15,0,0,0,227.23,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,5.89,0.98,412.24,0,0,3.93,8.83,0.98,0,1.96,0.98,0.98,0.98,0,0.98,40.24,0,2.94,1.96,3460.85,0,28.46,0,0,0.98,3.93,0,0,0,332.74,0,1.96,1.96,0,4.91
 72-82,0,0,1.96,0,15.71,1.96,631.21,0,0,0.98,47.12,3.93,1.96,1.96,0,0,0.98,0,0,65.77,0.98,0,1.96,3424.04,0,33.38,0.98,0,0,6.87,0,0,0,199.28,1.96,2.94,1.96,2.94,2.94
 84-94,0,0,1.06,0,35.05,7.43,432.25,1.06,3.19,2.12,56.29,0,1.06,5.31,0,4.25,1.06,2.12,0,40.36,1.06,5.31,2.12,1686.52,1.06,23.36,3.19,0,0,5.31,0,0,0,123.2,1.06,1.06,1.06,2.12,1.06
 96-106,0,0,2.19,0,22.95,10.93,316.93,1.09,2.19,3.28,49.18,2.19,2.19,1.09,1.09,2.19,2.19,0,0,41.53,1.09,1.09,2.19,1276.45,1.09,40.44,2.19,0,0,7.65,1.09,0,0,44.81,0,1.09,4.37,1.09,1.09
108-118,0,0,0,0,16.85,4.6,223.66,0,0,2.3,31.4,0.77,0,3.06,0.77,0.77,0,0.77,0,43.66,0,0,6.13,1428.52,0.77,28.34,0.77,0,0,1.53,0,0,0,31.4,0.77,0.77,1.53,0,0
120,0,0,1.96,0,23.52,1.96,199.9,0,3.92,0,37.24,5.88,0,1.96,3.92,0,1.96,0,0,25.48,0,1.96,3.92,1634.46,0,25.48,1.96,0,0,11.76,0,0,0,27.44,0,0,5.88,1.96,0
