stage,blastomeres,endoderm,epidermis,eye,gut,hatching.gland,mesenchyme,mucous,paraxial.mesoderm,periderm
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0
 14-21,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,9.85
 36-46,0,0,0,0,0,0,0,0,0,7.25
 48-58,0,0,0.57,0,0,0.57,0,0,0,1.15
 60-70,0,0,0,0.98,0,0,0.98,0,0,2.94
 72-82,0,0,0.98,0,0,0,0,0.98,0,3.93
 84-94,0,0,0,0,0,0,0,0,0,11.68
 96-106,0,0,5.46,1.09,0,0,0,0,0,15.3
108-118,0,0,1.53,0,0.77,0,0,0,0,6.89
120,0,0,5.88,0,0,0,0,0,0,11.76
