stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,periderm,spinal_cord
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,3.28,6.57,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,3.22,20.95,0
 48-58,0,0,0.57,1.15,0,0,0,0,0,0,0,0.57,11.48,1.15
 60-70,0,0,5.89,1.96,0,0,0,0,0,0,0,0.98,6.87,0
 72-82,0,0,1.96,4.91,0,1.96,0,0,0,0.98,0,3.93,4.91,0
 84-94,0,0,13.81,2.12,0,0,0,1.06,0,0,0,0,11.68,0
 96-106,0,0,5.46,3.28,0,0,0,0,0,0,1.09,1.09,15.3,0
108-118,0,0,11.49,3.83,1.53,0,0,0,0.77,0,0.77,3.06,14.55,0
120,0,0,7.84,1.96,1.96,1.96,1.96,0,1.96,0,0,0,5.88,0
