stage,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,1,0,0,0,0,0,0,15,0,0,4,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,63.21,1.64,0,19.7,0,0
 36-46,0,0,6.45,0,0,0,1.61,0,128.91,0.81,0,20.14,0,0
 48-58,0.57,0,14.92,2.3,0,0,0,0,149.76,0.57,0.57,25.25,0,0
 60-70,0,0,50.06,2.94,0,0,1.96,0.98,196.3,0,0,21.59,0,0
 72-82,0,0,44.17,2.94,0,0.98,6.87,0.98,169.83,2.94,0.98,10.8,0.98,0
 84-94,1.06,0,44.61,6.37,0,0,6.37,0,94.52,1.06,0,7.43,0,1.06
 96-106,2.19,0,36.06,1.09,0,1.09,2.19,0,83.06,1.09,1.09,3.28,0,0
108-118,0,0,19.92,2.3,0.77,0,3.06,0,82.72,0,0,0.77,2.3,1.53
120,0,0,11.76,0,0,0,1.96,0,45.08,0,0,0,0,0
