stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,31,0,1,1,0,0,0,0,0,30,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,138.72,0,2.46,0,0,0,0,0,0,61.56,0,0,0.82,0
 36-46,0,0,0,0,0,6.45,0,0,9.67,0,0,0.81,0,0,0,0,0.81,0,0,1.61,335.16,0.81,2.42,0,0,0,0.81,0,0,93.46,0,0,0,0
 48-58,0,0.57,0,0.57,0,45.9,0,0,18.94,0,0,0,0.57,0,0,0,2.87,0,0,0,335.68,0.57,1.72,1.15,0,0,1.15,0,0,59.68,0,0,0,0
 60-70,0,0,0,0.98,0,148.21,0,0,29.45,0,0,0,0,0,0,0.98,0.98,0.98,0.98,0.98,475.06,0,0.98,0.98,0,0,1.96,0,0,70.67,0,0,0,0
 72-82,0,4.91,0,0.98,0.98,201.24,0,0.98,19.63,0.98,0,0,0,0,0.98,0,1.96,0,0,0,341.62,0.98,1.96,1.96,0,0,0,0,0,30.43,0.98,0,0,2.94
 84-94,0,1.06,0,5.31,0,128.51,0,2.12,15.93,0,0,0,1.06,0,0,0,1.06,0,0,0,170.99,0,0,6.37,0,0,0,0,1.06,16.99,0,1.06,0,2.12
 96-106,0,2.19,0,3.28,0,110.38,0,0,14.21,2.19,0,0,0,2.19,0,0,3.28,0,3.28,1.09,113.66,0,2.19,0,0,0,0,1.09,0,5.46,0,0,0,4.37
108-118,0,2.3,0,2.3,0,83.49,0,0,9.19,0,0,0.77,0.77,0,0,0,1.53,0,0.77,0,123.32,0,0.77,3.83,0,0,0.77,0,0,2.3,0,0,0,1.53
120,0,1.96,1.96,1.96,0,58.79,1.96,0,17.64,0,0,0,0,0,0,0,5.88,0,3.92,0,148.94,0,5.88,3.92,0,1.96,1.96,0,0,13.72,0,0,1.96,1.96
