stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,5,0,0,9,0,0,0,3,4,0,13
 24-34,0,0,0,2.46,2.46,2.46,0,0,0,0,0,0,0,0.82,0,1.64,0,0,64.03,0,0,0,0,9.03,0,51.71
 36-46,0,0,0,1.61,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,56.4,0,0,0.81,0,7.25,0,55.59
 48-58,0,0,0,1.15,0,2.3,0,0,0.57,0,0,0,0.57,0,0,5.16,0.57,0,32.13,0,0,0,0,3.44,0,54.51
 60-70,0,0,0,0,0,15.7,0,0,0,0,0,0,1.96,0,0,12.76,0,2.94,40.24,0.98,0.98,0,0,0,0,36.32
 72-82,0,0,0,0,0.98,84.42,0,0,7.85,0,0,0.98,0.98,0,0,32.39,0,2.94,56.94,1.96,0,0,0,0,0.98,48.1
 84-94,0,0,0,1.06,0,73.28,1.06,1.06,5.31,0,0,0,1.06,0,1.06,11.68,1.06,1.06,28.68,2.12,0,1.06,0,0,0,47.79
 96-106,0,0,0,0,1.09,102.73,1.09,1.09,4.37,0,0,0,3.28,0,2.19,25.14,0,0,29.51,3.28,0,0,0,0,1.09,63.39
108-118,0,0,0,0,0.77,66.64,0.77,0,0.77,0.77,0.77,0,6.13,0,0.77,19.15,0,0,18.38,1.53,0,1.53,0,0.77,1.53,85.02
120,0,0,0,0,0,41.16,0,0,3.92,0,0,0,3.92,0,0,25.48,1.96,3.92,39.2,1.96,1.96,0,0,1.96,0,21.56
