stage,endocrine.pancreas,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,23,0,1,0,0,0,1,5,14,0,1,0,0
 24-34,0,0,3.28,0,0,1.64,0,0,0.82,0,0,0,6.57,0,0.82,88.65,0.82,1.64,0,0,0,0,0,41.04,0,1.64,0,0.82
 36-46,0,0,16.11,0,0,4.83,0.81,0,0,0,0,0,4.83,0,0.81,148.24,0,0,0,0,0,0,0,33.03,0,0.81,0,0
 48-58,0,0.57,47.63,0,0,6.31,0.57,0,0,0.57,0,0,17.21,0,4.59,158.37,0,0.57,0,0,0,0,0,27.54,0,0.57,0,0
 60-70,0,0,104.04,0,0,10.8,0,0,0,1.96,0,0,22.58,1.96,1.96,200.23,0.98,0,0,0,0,0,0,29.45,0.98,0.98,0,0.98
 72-82,0,0.98,96.2,0,1.96,7.85,0,0,0,1.96,0,0,26.5,0,4.91,162.96,0,2.94,0,0.98,0.98,0,0,9.82,0.98,5.89,0.98,1.96
 84-94,0,0,45.67,0,0,9.56,0,1.06,0,1.06,0,0,16.99,1.06,0,61.6,0,1.06,0,0,0,0,0,5.31,2.12,0,0,1.06
 96-106,1.09,0,32.79,0,0,3.28,0,0,0,0,1.09,1.09,18.58,1.09,3.28,66.66,0,2.19,0,0,1.09,0,0,4.37,3.28,1.09,1.09,0
108-118,0,0.77,22.21,0.77,0,4.6,0,0,0,1.53,0,0,6.13,0,0,59.75,0,0,0,0.77,0.77,0,0,0.77,0,0,1.53,3.06
120,0,0,11.76,0,0,3.92,1.96,0,0,0,0,0,5.88,0,1.96,50.95,0,0,0,0,0,0,0,1.96,1.96,1.96,0,0
