stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,4,3,1,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,30.37,0,0,0,0,0.82,0,0,6.57,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0,100.71,0,0,0,0,0.81,0,0,28.2,0,0,0
 48-58,0,0.57,1.15,0,0,9.75,0.57,0,0,4.02,0,0.57,0,0,0,0,3.44,0,0,168.12,0,0,0,0,0,0,0,28.12,0,0,0
 60-70,0,0,0,0,0,43.19,0,0,0,6.87,0.98,0.98,0,0,0,0,6.87,0,0,352.37,0,0,1.96,0,0,0,0,35.33,0.98,0,0
 72-82,0,0,1.96,0,0,81.48,0,0,0.98,14.72,0,0,0,0,0,0.98,12.76,0,0,417.21,0,0,0.98,0,0.98,0,0,29.45,0.98,0,1.96
 84-94,0,0,1.06,0,0,40.36,0,1.06,0,13.81,0,0,0,1.06,0,0,5.31,0,0,182.67,0,0,0,0,0,0,0,20.18,1.06,0,0
 96-106,0,1.09,1.09,0,0,40.44,0,0,1.09,9.84,0,0,1.09,0,0,0,7.65,0,0,168.3,0,1.09,1.09,0,2.19,0,0,12.02,0,0,0
108-118,0,1.53,1.53,0,0,32.94,0,0,0,6.89,0,0.77,0,0,0,0,10.72,0,0.77,186.89,0,0,0,0,0,0,0,6.13,0.77,0.77,0
120,0,0,5.88,0,1.96,43.12,0,0,0,9.8,0,1.96,0,0,1.96,1.96,5.88,1.96,3.92,264.57,0,0,0,0,0,0,0,7.84,0,0,0
