stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,32,0,4,0,0,2,1,0,0,0,3,0,0,0,0,10,0,0,18,47,3,2,3,2,0,3,13,3,79,26,0,0,1,0,0
 24-34,0,0,0,2.46,13.13,0,13.95,2.46,1.64,5.75,0.82,0,0.82,0.82,5.75,0,1.64,0,0.82,29.55,0,0,52.53,69.77,7.39,2.46,4.1,0,0,4.1,0,4.1,15.6,32.83,0,0,9.03,0,0
 36-46,0,0,0,0,3.22,0,14.5,1.61,4.03,8.06,0,0,0.81,0,0.81,0,0.81,0,0,33.84,0,0.81,20.95,49.15,1.61,1.61,0.81,0,0,6.45,0,0,0,19.34,0,0,5.64,0,0
 48-58,0.57,0,0,0,1.72,0,16.07,1.15,2.3,13.2,0,0,1.15,0,0.57,0.57,0,0,0,25.82,0,1.15,14.35,43.61,0,0.57,1.15,0,0,2.87,0,0,0,19.51,0,0,6.31,0,0.57
 60-70,0,0,0,0,5.89,0.98,12.76,2.94,3.93,35.33,0,0,0.98,3.93,0,0,0,1.96,0,27.48,0,1.96,3.93,65.76,1.96,0.98,1.96,0,0.98,4.91,0,0.98,0,15.7,0,0,3.93,0,0
 72-82,0,0,0,0,2.94,1.96,7.85,1.96,1.96,28.47,0.98,0,0.98,2.94,1.96,0,0.98,0.98,0,15.71,0,0.98,6.87,53.01,0,0,0.98,0,0.98,3.93,0,0.98,0,8.83,0,0.98,5.89,0.98,0.98
 84-94,0,0,1.06,0,11.68,1.06,14.87,0,3.19,25.49,4.25,0,2.12,6.37,4.25,0,0,0,1.06,25.49,0,1.06,5.31,42.48,2.12,1.06,7.43,0,1.06,12.74,0,0,0,9.56,0,1.06,10.62,2.12,0
 96-106,0,0,0,0,9.84,0,19.67,0,1.09,28.41,2.19,0,1.09,2.19,2.19,0,0,1.09,1.09,7.65,0,0,3.28,33.88,0,0,2.19,0,1.09,3.28,0,0,0,2.19,0,1.09,8.74,0,1.09
108-118,0,0,0,0,12.26,1.53,9.96,3.06,0.77,16.85,1.53,0,0.77,0.77,1.53,0,0,0,0,9.19,0,0.77,2.3,39.83,0.77,2.3,4.6,0,0,4.6,0,0,0,4.6,0,0,6.89,0,0.77
120,0,0,0,0,13.72,3.92,7.84,1.96,1.96,17.64,1.96,0,0,5.88,1.96,1.96,0,0,0,9.8,1.96,1.96,0,35.28,1.96,0,1.96,0,0,3.92,0,0,0,3.92,1.96,0,7.84,1.96,0
