stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,heart,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,190.02,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,0,0
  7-9,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,28.92,0,28.92,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,1.72,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,2.94,0.98,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,1.06,1.06,0,0,1.06,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96
