stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural.cell,neural,notochord,olfactory,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,2.94,0,1.96,0.98,0,0,0,6.87,0
 72-82,0,0,0,0,0,0,7.85,0,0,0.98,13.74,0,1.96,0,0,0,0,12.76,0.98
 84-94,0,1.06,0,1.06,1.06,0,4.25,0,0,0,7.43,0,1.06,1.06,0,1.06,0,6.37,0
 96-106,0,0,1.09,0,0,0,8.74,0,0,0,14.21,1.09,0,0,1.09,0,0,6.56,0
108-118,0,0,0,3.83,0,1.53,3.06,0,0.77,0,8.43,0,2.3,0,0,0,0.77,6.89,0.77
120,0,0,0,0,0,0,3.92,1.96,0,0,7.84,0,3.92,0,0,0,0,0,0
