stage,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,neural,notochord,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,5.64,0,0,0,1.61,0,0
 48-58,0,0.57,0,0,0,0.57,0,0,0.57,0,0,0.57,0,0,0,2.87,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,6.87,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0,28.68,0,0,0,1.06,0,1.06
 96-106,2.19,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0,0,19.67,1.09,0,0,0,1.09,0
108-118,0.77,0,0.77,0,0,0,0,0.77,0,0.77,0,1.53,0,0,0,15.32,0,0,0,0,0,0
120,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,11.76,0,0,0,0,0,0
