stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,4.93,0,0.82,1.64,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,0.81,0,0.81,0,0,0,3.22,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0.57,0,0,0,6.89,1.72,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,0,2.94,0,0,0.98,0.98,0.98,0,16.69,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,0,3.93,0,9.82,0,0,0,0,12.76,0,0.98,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,5.31,0,5.31,2.12,1.06,0,0,7.43,1.06,2.12,0,1.06,0,1.06,0,0
 96-106,0,0,0,1.09,0,5.46,1.09,107.1,0,2.19,4.37,0,12.02,0,5.46,0,0,0,1.09,0,0
108-118,0,0,0,0,1.53,4.6,1.53,220.6,0.77,3.83,3.06,0,10.72,3.06,6.13,0,0,0.77,0.77,0.77,0.77
120,0,0,0,1.96,0,5.88,0,209.7,0,5.88,1.96,0,11.76,0,9.8,0,1.96,1.96,1.96,0,0
