stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,8.21,0,0,0,0,0.82,0,1.64,1.64,0,0,0,0,0.82,0,0,0.82,0,3.28,0
 36-46,0,0,0,0,0,0,0,0,0,29.81,0.81,4.83,0.81,0,0,0,0,5.64,0,0,0,0,1.61,0,0,1.61,0,0.81,0
 48-58,0,0,0,0,2.87,0,0,0,0,45.9,0,8.61,0,0,1.15,0,0.57,2.3,0.57,0,0,0,1.15,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,17.67,0,0,0,0,44.17,0,13.74,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,37.3,0.98,0.98,2.94,0,73.62,0,17.67,0,0,1.96,0,0.98,4.91,0.98,0,0,0.98,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,1.06,1.06,21.24,0,0,1.06,0,114.7,1.06,31.86,0,0,5.31,0,0,3.19,0,0,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,38.25,0,0,1.09,1.09,135.51,0,20.76,1.09,1.09,7.65,0,0,6.56,0,0,0,1.09,0,0,0,0,1.09,1.09,2.19
108-118,0,0.77,0,0.77,23.74,0,0,0.77,0.77,105.7,0,39.06,0,0,5.36,0.77,0,6.13,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,17.64,0,0,1.96,0,109.75,0,29.4,1.96,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96,0
