stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,10.51,0,23.66,0,0,0,0,0,0,0,0,0,0,0,131.44,5.26,0,0,55.2,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,12.59,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,9,2,0,0,0,0,0,0,0,0,9,0,2,63,2,0,0,1,0,9,1,9,19,0,0,0,0,0
 24-34,0,0,0.82,0.82,6.57,0,3.28,0,0,0,0,0,0,5.75,0,2.46,77.16,0,0,0,0,2.46,0,0,0,18.06,0,0,0,0,0
 36-46,0,0,0,0.81,14.5,0,2.42,0,0,0,0,0,0,6.45,0,0,62.84,0.81,0.81,0,0,0.81,0,0,0,11.28,0,0,0,0,0
 48-58,0,0,0,0,8.03,0,0,0,0.57,0,0.57,0,0,5.16,0.57,1.15,32.71,0,0,0.57,0,0.57,0,0,0,7.46,0,0,0,0,0
 60-70,0,0,0,1.96,13.74,0,4.91,0,0,0,0,0,0,5.89,0.98,0.98,40.24,0,0,0.98,0,0.98,0,0,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,0,24.54,0,8.83,0.98,0,0,0.98,0,0,19.63,0.98,1.96,40.25,0,0,0.98,0,0,0,0,0,4.91,0,0,0,0.98,0
 84-94,0,0,0,2.12,4.25,1.06,2.12,1.06,0,0,0,0,1.06,8.5,1.06,1.06,14.87,0,0,2.12,0,2.12,0,0,0,3.19,0,0,1.06,1.06,0
 96-106,0,0,0,3.28,3.28,0,4.37,0,0,0,0,1.09,0,3.28,0,2.19,12.02,1.09,0,2.19,0,0,0,0,0,0,1.09,1.09,1.09,0,0
108-118,0,0,0,0.77,4.6,0,0,0,0,0.77,0,0,0,3.06,0,0.77,15.32,0,0,1.53,0,0.77,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,1.96,7.84,0,0,0,0,3.92,0,0,0,1.96,0,0,5.88,0,0
