stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,1,4,0,0,0,0,0,1,1,1,0,0
 24-34,0,0,0,0.82,0,4.1,0,0.82,1.64,0,7.39,0.82,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,4.03,0.81,0,0,0,11.28,0.81,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,15.49,0.57,0,0.57,0,13.77,0.57,0.57,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,109.93,0.98,0,0,0,32.39,0,0,0,0,0,0,0,0,1.96,0
 72-82,0,0.98,0,0.98,0.98,185.53,2.94,0,0.98,0,47.12,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,1.06,0,2.12,0,169.93,4.25,0,0,1.06,19.12,1.06,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,1.09,0,0,0,120.21,1.09,1.09,1.09,0,17.49,2.19,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0.77,0,0.77,0,71.23,2.3,0,1.53,0,25.28,0.77,0,0,0,0,0,0,0,0,0
120,0,1.96,0,1.96,0,45.08,3.92,0,1.96,0,17.64,0,0,0,0,0,0,0,0,0,0
