stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,1,4,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,27.91,0,0,0,0,0,1.64,0,13.95,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0,85.4,0,0.81,0,0,0,1.61,0,14.5,0,0,0
 48-58,0,0,0,1.15,0,2.87,0,0.57,1.15,0.57,0,0,1.15,6.89,0,0,98.69,0,0,0,0,0,0.57,0,11.48,0,0,0
 60-70,0,0,0,0,0,25.52,0,0,2.94,0,0,0,0.98,14.72,3.93,1.96,225.75,0.98,0,0,0,0,0,0,26.5,1.96,0,2.94
 72-82,0,0.98,0,0,0,38.28,0,0,6.87,0,0.98,0,1.96,20.61,4.91,0.98,184.55,0,0.98,0,0,0,0.98,0,13.74,3.93,0,7.85
 84-94,0,0,0,0,0,21.24,0,0,2.12,0,1.06,0,3.19,15.93,4.25,0,86.03,0,0,2.12,0,0,0,0,8.5,1.06,1.06,9.56
 96-106,0,0,0,1.09,0,13.11,0,1.09,0,0,0,1.09,1.09,24.04,1.09,1.09,78.68,0,0,2.19,0,2.19,2.19,0,4.37,1.09,0,7.65
108-118,0,0,0,0.77,1.53,15.32,0,0,2.3,0,0,0,0.77,9.96,2.3,0.77,85.79,0,0,1.53,0,0.77,1.53,0,3.83,0,0,5.36
120,0,0,0,0,0,7.84,1.96,0,5.88,0,0,0,0,9.8,0,1.96,143.06,0,0,7.84,0,0,1.96,0,1.96,0,0,5.88
