stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,45,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.28,0,0,0.82,0,0.82,0,0,0,0,0,0,3.28,0,0,0,0,1.64,4.93,0,1.64,32.83,1.64,0.82,1.64,0,0,578.7,0.82,0,2.46,4.1,0,0,0,0,0
 36-46,0,0,4.03,0,0,5.64,0,4.83,0,0,0,0,0,0,3.22,0,0,0,0,4.03,7.25,0,0,33.84,1.61,0.81,0.81,0,0,899.13,0,0,0,4.83,0,0,0.81,0,0.81
 48-58,0,0,7.46,0,0,17.79,0,19.51,0,5.74,0.57,0,0.57,0,2.87,0,0,0,1.15,8.61,10.33,0,1.15,41.89,1.15,0,0.57,0.57,0,1066.7,0.57,0,0,12.05,0,0,0,0,0.57
 60-70,0,0.98,15.7,0.98,0,18.65,0,14.72,0.98,2.94,2.94,0,0,0.98,4.91,0,0,0,0,7.85,7.85,0,0,34.35,2.94,0,0,0,0,952.08,1.96,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,30.43,0.98,0,21.6,0,29.45,0.98,10.8,20.61,0.98,0,0,14.72,0,1.96,1.96,0.98,10.8,7.85,0,2.94,54.97,0,0,0,0,0,1018.96,4.91,0,0,2.94,2.94,0.98,6.87,0,0
 84-94,0,0,31.86,2.12,0,11.68,0,90.27,1.06,5.31,32.92,0,0,1.06,38.23,2.12,0,5.31,0,6.37,23.36,1.06,1.06,33.99,2.12,0,1.06,0,0,2395.96,2.12,1.06,0,1.06,7.43,0,3.19,1.06,1.06
 96-106,0,0,122.4,2.19,3.28,21.86,0,112.56,4.37,17.49,102.73,0,5.46,2.19,36.06,1.09,5.46,5.46,0,28.41,37.16,2.19,2.19,68.85,1.09,0,5.46,0,1.09,2126.68,4.37,1.09,0,1.09,3.28,0,7.65,0,2.19
108-118,0,0,96.51,3.83,0,14.55,1.53,148.6,0,7.66,92.68,0,0,0.77,39.83,0,0.77,4.6,0,8.43,31.4,2.3,3.06,61.28,1.53,0,0,0,0.77,1725.71,4.6,0,0,0.77,11.49,0,1.53,0.77,0.77
120,0,0,90.15,1.96,1.96,3.92,0,115.63,1.96,7.84,56.83,0,0,1.96,29.4,0,0,3.92,0,9.8,29.4,0,1.96,50.95,1.96,1.96,0,0,0,1132.76,0,0,0,0,1.96,0,0,0,1.96
