stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,857,0,0,0,0,5,0,0,0,4,0,0,8,0,0,0,0,1,0,0,10,0,0,0,0,2,0,0,3,2,0,0,0,0,0
 24-34,0,0,0.82,0,953.01,0,0,5.75,0,68.13,0,0.82,0,0.82,0,0,0,0,0,0,4.93,13.95,0.82,3.28,40.22,0,0,0.82,0,4.1,0,0,0.82,6.57,0,0,1.64,0,0
 36-46,0,0,0,0,431.84,0,0,2.42,0.81,84.6,0,1.61,0,0,0,0,1.61,0,0.81,0,0.81,3.22,0,0.81,24.98,0,0.81,0,0,4.03,0,1.61,0,4.03,0,0,0,0,0.81
 48-58,0,0,0,0,368.96,0,0,5.74,0,105.58,0.57,2.3,0,0,0,0,0.57,0.57,1.15,0,3.44,4.02,0,1.72,25.25,0.57,0.57,0,0,0.57,0,0.57,0,6.89,0,0,0.57,0,0
 60-70,0,0,0,0,351.38,0,0,1.96,0,91.28,0,1.96,0,0,0,0,2.94,0,2.94,0,4.91,3.93,0.98,0.98,16.69,0,2.94,0,0,0,0.98,0,0,3.93,0,0,0,0,0.98
 72-82,0,0,0,0,533.04,0,0,10.8,0,109.95,0,1.96,2.94,0,0.98,0,8.83,0,0,0,9.82,5.89,0,0.98,10.8,0,8.83,0,0,0.98,0,0,0,1.96,0.98,0.98,0,0.98,0
 84-94,1.06,0,0,0,845.38,2.12,0,12.74,0,202.85,0,4.25,5.31,0,0,1.06,10.62,2.12,2.12,0,5.31,6.37,0,3.19,11.68,0,6.37,0,0,4.25,0,0,0,1.06,18.05,0,0,1.06,0
 96-106,0,0,0,0,903.78,1.09,0,8.74,0,198.9,0,3.28,16.39,0,0,0,16.39,0,1.09,1.09,6.56,10.93,0,3.28,20.76,0,17.49,0,0,4.37,0,0,0,1.09,9.84,1.09,0,1.09,0
108-118,0,0,0,0,880.09,0,1.53,3.83,0,242.81,0.77,3.06,22.98,0,0,1.53,19.92,0,0.77,0.77,6.89,6.13,0,2.3,18.38,0,9.19,0.77,0,6.13,0.77,0,0,0.77,19.15,0.77,1.53,0,0
120,0,0,0,0,444.87,1.96,0,5.88,0,139.14,1.96,3.92,5.88,0,0,1.96,1.96,0,0,0,0,7.84,0,0,15.68,0,7.84,3.92,0,1.96,1.96,0,0,0,3.92,0,0,0,0
