stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,pronephros,somites,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,3.15,0,37.76,0,0,6.29,0,0,0,0,0,0,0,34.62,0,9.44,0,0,0
 14-21,0,0,0,0,1,1,0,11,0,0,0,0,0,0,1,0,0,7,1,27
 24-34,0,0,1.64,1.64,0,0,0.82,7.39,0,0.82,0,0,0,0,7.39,0.82,0,5.75,0.82,19.7
 36-46,0,0,0,0,0,0,2.42,5.64,0,0,0,0,0,1.61,5.64,0.81,0,4.83,0,14.5
 48-58,0,0,0,0,0,0,3.44,8.61,0,0,0,0,0,1.15,4.02,2.87,0,0,0,12.62
 60-70,0,0,0,0,0,0,0.98,10.8,0.98,0,0,0,0,0.98,1.96,0.98,0,0,0,3.93
 72-82,0,0,0,0,0,0,0.98,11.78,0,0,0,0,0,0,1.96,0.98,0,0,0,3.93
 84-94,0,0,0,0,0,1.06,1.06,6.37,1.06,0,0,0,0,0,0,3.19,0,1.06,0,4.25
 96-106,0,0,0,0,0,0,1.09,5.46,1.09,0,0,1.09,0,0,2.19,3.28,0,1.09,0,2.19
108-118,0,0,0,0,0,0,0,3.06,0,0,0.77,0,0,0.77,1.53,1.53,0,0,0,1.53
120,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0
