stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,5.26
 10-12,0,6.29,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,0,0,0,0,16.69,0,0.98,0,0
 84-94,0,0,0,1.06,0,1.06,0,28.68,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,25.14,0,0,0,0
108-118,0,0,0,0,0,0,0,22.21,0,0,0.77,0
120,0,0,0,0,0,0,0,27.44,1.96,0,0,0
