stage,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  7-9,0,0,2.63,0,0,0,2.63,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,2.46,0,1.64,0,2.46,0
 36-46,0,0,0,0,0.81,0,8.86,0,0,0,1.61,0.81
 48-58,1.15,1.72,0,0,1.15,0,2.3,0,0,0,1.15,0
 60-70,2.94,1.96,0,0,0,0,6.87,0,0,0,0.98,0
 72-82,0,3.93,0,0,0,0,0.98,0,0,0,0.98,0.98
 84-94,5.31,2.12,0,0,0,0,4.25,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,3.06,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0
