stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,7.89,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,52.57,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,44.06,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,14,0,0,10,25,16,0,0,2,0,0,1,28,0,2,18,12,0,1,0,0
 24-34,0,0,0,4.93,0,0,15.6,5.75,0,4.1,8.21,1.64,0,3.28,0,0,0,0.82,0,0,93.58,0,0,41.04,64.03,13.13,0,1.64,0,0.82,0,0,0,8.21,4.1,9.85,21.34,0,4.93,0,1.64
 36-46,0,0,0.81,3.22,0,0,20.14,10.47,0,4.03,12.89,0,0,1.61,0,0.81,0,0,0,2.42,148.24,0,2.42,30.62,41.89,16.11,0.81,0,0,0.81,0,0,0,9.67,0.81,0.81,18.53,0,2.42,0,2.42
 48-58,0,0,0,0.57,0.57,0,23.53,14.35,0,9.18,13.2,0,0,3.44,0,0,0,1.15,0,1.15,208.29,0,3.44,19.51,46.48,11.48,0.57,0,0,0,0.57,0,0,12.62,1.72,0,13.77,1.72,2.87,0,1.15
 60-70,0,0,0,2.94,0,0,19.63,13.74,0,11.78,37.3,1.96,0,2.94,0,0,0,0.98,0,0,265.99,0,4.91,7.85,15.7,9.82,0,0,0,0.98,0,0,0,20.61,0.98,0,4.91,3.93,0.98,0,0.98
 72-82,0,0,0,1.96,0.98,0.98,48.1,12.76,2.94,26.5,108.96,1.96,0,2.94,0,0,0,0,4.91,0.98,530.1,0,22.58,20.61,32.39,2.94,0.98,1.96,0,2.94,0,0,0,43.19,1.96,0,8.83,9.82,2.94,7.85,2.94
 84-94,0,0,0,8.5,0,1.06,58.41,7.43,1.06,18.05,70.09,2.12,0,2.12,1.06,1.06,1.06,0,8.5,0,355.78,0,12.74,15.93,28.68,5.31,2.12,1.06,0,0,1.06,0,0,82.84,1.06,0,3.19,7.43,4.25,9.56,1.06
 96-106,0,0,0,5.46,1.09,0,44.81,12.02,1.09,13.11,101.63,0,0,3.28,2.19,0,1.09,1.09,14.21,0,377.03,0,20.76,17.49,41.53,3.28,1.09,0,0,4.37,3.28,0,0,81.96,4.37,0,4.37,5.46,0,5.46,3.28
108-118,0,0,0,3.83,1.53,0.77,41.36,16.09,2.3,14.55,63.57,1.53,0,0.77,1.53,0,0,0.77,44.43,0.77,325.53,0.77,8.43,12.26,35.23,3.06,1.53,1.53,0,2.3,2.3,0,0,55.92,4.6,0,3.83,6.13,3.06,5.36,4.6
120,0,0,0,3.92,0,1.96,23.52,9.8,0,17.64,41.16,1.96,0,1.96,0,0,0,0,25.48,0,229.29,0,3.92,7.84,35.28,5.88,0,1.96,0,0,1.96,0,0,41.16,9.8,0,0,5.88,3.92,0,0
