stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0.82,0.82,0,0,4.1,0,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,3.22,0,0,0,0.81,0.81,0,0,3.22,0,0,0
 48-58,0,0,0.57,2.3,2.3,0.57,0.57,0,0,0,3.44,5.74,0,0,2.87,0.57,0,0,0,0,0,0
 60-70,0,1.96,3.93,0,4.91,0,0,0,0,0,2.94,21.59,0,0,1.96,0.98,0,0,0,0,0.98,0
 72-82,0,0,9.82,0,0.98,0,0,0,0,0,8.83,44.17,0,0,11.78,1.96,0,0.98,0.98,0.98,0,3.93
 84-94,0,0,12.74,0,1.06,1.06,0,0,0,0,25.49,26.55,0,0,8.5,0,1.06,0,1.06,0,1.06,0
 96-106,0,1.09,14.21,0,0,7.65,0,2.19,1.09,1.09,60.11,32.79,1.09,2.19,12.02,1.09,0,0,0,0,0,1.09
108-118,0,0.77,8.43,1.53,0,3.06,0,0,0,0,98.04,32.94,0,0,8.43,1.53,0,0.77,2.3,0,0.77,1.53
120,0,1.96,3.92,0,0,1.96,0,0,0,1.96,70.55,21.56,0,0,1.96,0,0,0,0,0,0,0
