stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,4.1,0,2.46,0,0,0,0,0,0,0,9.03,0,0,3.28,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,0,0.81,0,0.81,29.81,0,6.45,0,0.81,0,0.81,0,3.22,0,68.48,0,0,6.45,8.06,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,2.87,0,1.72,86.07,1.15,4.02,0,0.57,0.57,0,0,28.12,0.57,129.11,0,0,15.49,19.51,0,0,0,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0.98,0,3.93,14.72,0,4.91,125.63,0,0.98,0,0,0.98,0.98,0,56.93,0,237.53,0,0,5.89,38.28,0,0,0,0,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0,6.87,1.96,54.97,55.95,0,4.91,229.71,12.76,1.96,1.96,0,0,1.96,0,164.92,0,704.83,0.98,0.98,22.58,101.11,0,0.98,0,0,1.96,0,0,7.85,0,2.94,2.94,2.94,2.94
 84-94,0,0,0,10.62,4.25,125.32,75.4,0,4.25,167.8,12.74,3.19,0,0,5.31,2.12,3.19,524.65,0,561.82,0,1.06,19.12,89.21,0,0,1.06,0,14.87,4.25,0,4.25,1.06,1.06,2.12,3.19,0
 96-106,0,0,1.09,32.79,7.65,108.19,136.61,1.09,8.74,171.58,29.51,8.74,0,9.84,6.56,0,4.37,791.22,0,972.63,2.19,3.28,21.86,240.43,3.28,2.19,1.09,1.09,19.67,5.46,1.09,1.09,2.19,2.19,16.39,6.56,0
108-118,0,0,0,13.79,8.43,73.53,52.09,3.06,8.43,166.21,26.04,3.83,0,1.53,4.6,5.36,0,1515.07,1.53,1056.26,1.53,5.36,39.06,193.02,1.53,1.53,4.6,3.06,14.55,6.89,0,4.6,0.77,0,8.43,2.3,3.83
120,0,0,0,15.68,3.92,25.48,68.59,0,1.96,217.54,13.72,1.96,0,1.96,1.96,0,0,821.15,0,1177.83,0,5.88,37.24,150.9,0,0,0,0,7.84,5.88,0,0,3.92,0,1.96,0,0
