stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,75.53,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,5,0,1,10,0,0
 24-34,0,0,0,0.82,0,0,6.57,0,0,0,0,0,0.82,0.82,0,12.31,0,0.82,0.82,0,48.43,0,7.39,0,0.82,25.45,0,0
 36-46,0,0,0,0,0.81,1.61,8.86,0,0.81,0,0,0.81,0.81,0,0,29.81,0,0.81,0,0,77.34,0,1.61,0,0,24.98,0,0
 48-58,0,0,0,0,0,2.3,15.49,0,0,0.57,0.57,0,1.72,0.57,0,16.64,0,1.15,0,0,30.99,0,1.15,0,0,13.77,0,0
 60-70,0,0,0,0,0,0.98,3.93,0,0,0,0.98,0,0.98,0,0,6.87,0,0,0.98,0,10.8,0,0,0.98,0,6.87,0,0
 72-82,0,0.98,0,0,0,3.93,7.85,0,0,0,0.98,0,0.98,0,0.98,5.89,0,2.94,0.98,0,1.96,0,0.98,0,0,5.89,0,0
 84-94,0,0,1.06,0,0,3.19,5.31,0,0,0,1.06,0,1.06,0,0,0,0,2.12,0,0,4.25,1.06,3.19,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,1.09,8.74,0,0,0,2.19,0,3.28,0,1.09,4.37,1.09,4.37,3.28,0,1.09,0,1.09,0,0,6.56,1.09,0
108-118,0,0,0,0,0,1.53,5.36,0,0,0,0,0.77,0,0,0,2.3,0,2.3,3.06,0,0,0,1.53,0,0,5.36,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,7.84,0,0
